Data,Produto,Estado,Área Colhida (ha),Produção (t),Rendimento Médio (kg/ha)
22016,5,2,370000.0,2775000.0,7500.0
22016,7,2,635000.0,2095500.0,3300.0
32016,1,2,147714.0,1054768.0,7141.0
32016,2,2,44737.0,83247.0,1861.0
32016,5,2,370000.0,2775000.0,7500.0
32016,7,2,645000.0,2128500.0,3300.0
42016,1,2,147714.0,1054768.0,7141.0
42016,2,2,44737.0,83247.0,1861.0
42016,5,2,370000.0,2775000.0,7500.0
42016,7,2,645000.0,2128500.0,3300.0
52016,1,2,147714.0,1054768.0,7141.0
52016,2,2,44737.0,83247.0,1861.0
52016,5,2,370000.0,2775000.0,7500.0
52016,7,2,645000.0,2128500.0,3300.0
62016,1,2,147436.0,1049602.0,7119.0
62016,2,2,44695.0,81229.0,1817.0
62016,5,2,370000.0,2701000.0,7300.0
62016,7,2,660661.0,2140061.0,3239.0
72016,1,2,147436.0,1049602.0,7119.0
72016,2,2,44695.0,81229.0,1817.0
72016,5,2,370000.0,2701000.0,7300.0
72016,7,2,660661.0,2140061.0,3239.0
82016,1,2,147436.0,1049602.0,7119.0
82016,2,2,44695.0,81229.0,1817.0
82016,5,2,370000.0,2701000.0,7300.0
82016,7,2,660661.0,2140061.0,3239.0
92016,1,2,147436.0,1050859.0,7128.0
92016,2,2,44695.0,81227.0,1817.0
92016,5,2,360341.0,2530363.0,7022.0
92016,7,2,660761.0,2139611.0,3238.0
102016,1,2,147436.0,1050859.0,7128.0
102016,2,2,44695.0,81227.0,1817.0
102016,5,2,360341.0,2530363.0,7022.0
102016,7,2,660761.0,2139611.0,3238.0
112016,1,2,147436.0,1050859.0,7128.0
112016,2,2,44695.0,81227.0,1817.0
112016,5,2,360341.0,2530363.0,7022.0
112016,7,2,660761.0,2139611.0,3238.0
122016,1,2,147436.0,1050859.0,7128.0
122016,2,2,44695.0,81227.0,1817.0
122016,5,2,360341.0,2530363.0,7022.0
122016,7,2,660761.0,2139611.0,3238.0
12017,1,2,147581.0,1078015.0,7305.0
12017,2,2,48982.0,100651.0,2055.0
12017,5,2,377138.0,2910600.0,7718.0
12017,7,2,647158.0,2220414.0,3431.0
22017,1,2,147581.0,1078015.0,7305.0
22017,2,2,48982.0,100651.0,2055.0
22017,5,2,377138.0,2910600.0,7718.0
22017,7,2,647158.0,2220414.0,3431.0
32017,1,2,147745.0,1102206.0,7460.0
32017,2,2,49014.0,102711.0,2096.0
32017,5,2,372513.0,3061562.0,8219.0
32017,7,2,651753.0,2328510.0,3573.0
