Data,Produto,Estado,Área Colhida (ha),Produção (t),Rendimento Médio (kg/ha)
072017,3,1,246593.0,338639.0,1373.0
072017,4,1,4444.0,4532.0,1020.0
072017,5,1,512533.0,4889083.0,9539.0
072017,6,1,2416021.0,13714555.0,5677.0
072017,7,1,5259903.0,19647675.0,3735.0
072017,8,1,955835.0,2820707.0,2951.0
072017,9,1,77622.0,184469.0,2377.0
082017,1,1,25111.0,163078.0,6494.0
082017,2,1,193434.0,367848.0,1902.0
082017,3,1,246593.0,338639.0,1373.0
082017,4,1,4444.0,4532.0,1020.0
082017,5,1,512533.0,4889083.0,9539.0
082017,6,1,2410325.0,13621499.0,5651.0
082017,7,1,5259903.0,19647675.0,3735.0
082017,8,1,962535.0,2593275.0,2694.0
082017,9,1,77622.0,184469.0,2377.0
092017,1,1,24989.0,165347.0,6617.0
092017,2,1,194108.0,368207.0,1897.0
092017,3,1,249085.0,341784.0,1372.0
092017,4,1,4432.0,4370.0,986.0
092017,5,1,513627.0,4931876.0,9602.0
092017,6,1,2412836.0,13412478.0,5559.0
092017,7,1,5271629.0,19817679.0,3759.0
092017,8,1,962004.0,2294385.0,2385.0
092017,9,1,75038.0,188117.0,2507.0
102017,1,1,24989.0,165347.0,6617.0
102017,2,1,194108.0,368207.0,1897.0
102017,3,1,249085.0,342152.0,1374.0
102017,4,1,4432.0,4370.0,986.0
102017,5,1,513627.0,4931876.0,9602.0
102017,6,1,2413536.0,13380366.0,5544.0
102017,7,1,5271629.0,19817679.0,3759.0
102017,8,1,961054.0,2247246.0,2338.0
102017,9,1,74965.0,187897.0,2506.0
112017,1,1,24989.0,165347.0,6617.0
112017,2,1,194108.0,368207.0,1897.0
112017,3,1,249085.0,342152.0,1374.0
112017,4,1,4432.0,4370.0,986.0
112017,5,1,513627.0,4931876.0,9602.0
112017,6,1,2413536.0,13380366.0,5544.0
112017,7,1,5271629.0,19817679.0,3759.0
112017,8,1,961054.0,2212488.0,2302.0
112017,9,1,74965.0,187897.0,2506.0
122017,1,1,24989.0,165347.0,6617.0
122017,2,1,194108.0,368207.0,1897.0
122017,3,1,249085.0,342152.0,1374.0
122017,4,1,4432.0,4370.0,986.0
122017,5,1,513627.0,4931876.0,9602.0
122017,6,1,2413536.0,13380366.0,5544.0
122017,7,1,5271629.0,19817679.0,3759.0
122017,8,1,961054.0,2212488.0,2302.0
122017,9,1,74965.0,187897.0,2506.0
012018,1,1,23671.0,159570.0,6741.0
012018,2,1,197719.0,317660.0,1607.0
012018,3,1,201923.0,386914.0,1916.0
012018,4,1,4913.0,5262.0,1071.0
012018,5,1,333153.0,2985246.0,8961.0
012018,6,1,2149640.0,12278504.0,5712.0
012018,7,1,5575490.0,19453171.0,3489.0
012018,8,1,1356958.0,3869723.0,2852.0
012018,9,1,79620.0,186869.0,2347.0
022018,1,1,23590.0,149359.0,6331.0
022018,2,1,195889.0,307975.0,1572.0
022018,3,1,198963.0,380492.0,1912.0
022018,4,1,4913.0,5262.0,1071.0
022018,5,1,332833.0,2973351.0,8933.0
022018,6,1,2148590.0,12351205.0,5749.0
022018,7,1,5574586.0,19478376.0,3494.0
022018,8,1,1356958.0,3869723.0,2852.0
022018,9,1,79637.0,188669.0,2369.0
032018,1,1,23835.0,144483.0,6062.0
032018,2,1,195889.0,307975.0,1572.0
032018,3,1,200963.0,384792.0,1915.0
032018,4,1,2653.0,2855.0,1076.0
032018,5,1,328401.0,2854481.0,8692.0
032018,6,1,2154992.0,12295954.0,5706.0
032018,7,1,5552232.0,19311978.0,3478.0
032018,8,1,1048037.0,3314981.0,3163.0
032018,9,1,77800.0,190254.0,2445.0
042018,1,1,23835.0,144483.0,6062.0
042018,2,1,195889.0,307975.0,1572.0
042018,3,1,200963.0,384792.0,1915.0
042018,4,1,2653.0,2855.0,1076.0
042018,5,1,328401.0,2822106.0,8593.0
042018,6,1,2146432.0,12243147.0,5704.0
042018,7,1,5552520.0,19266672.0,3470.0
042018,8,1,1042037.0,3293981.0,3161.0
042018,9,1,77800.0,190254.0,2445.0
052018,1,1,23138.0,131317.0,5675.0
052018,2,1,195889.0,307975.0,1572.0
052018,3,1,199575.0,306384.0,1535.0
052018,4,1,3054.0,3559.0,1165.0
052018,5,1,330201.0,2887598.0,8745.0
052018,6,1,2143341.0,10008123.0,4669.0
052018,7,1,5552520.0,19266672.0,3470.0
052018,8,1,1046060.0,3304712.0,3159.0
052018,9,1,77800.0,190254.0,2445.0
062018,1,1,23138.0,131317.0,5675.0
062018,2,1,195889.0,307975.0,1572.0
062018,3,1,199795.0,275084.0,1377.0
062018,4,1,3054.0,3559.0,1165.0
062018,5,1,330201.0,2887598.0,8745.0
062018,6,1,2130650.0,9428125.0,4425.0
