Data,Produto,Estado,Área Colhida (ha),Área Plantada (ha),Produção (t),Rendimento Médio (kg/ha)
julho 2016,15 Fumo,Parana,73715,,148992,2021
agosto 2016,1.4 Arroz,Parana,26254,,141771,5400
agosto 2016,1.8 Feijao (1 Safra),Parana,180149,,284549,1580
agosto 2016,1.9 Feijao (2 Safra),Parana,207425,,312336,1506
agosto 2016,1.10 Feijao (3 Safra),Parana,5199,,6017,1157
agosto 2016,1.13 Milho (1 Safra),Parana,423695,,3406860,8041
agosto 2016,1.14 Milho (2 Safra),Parana,2198309,,10910484,4963
agosto 2016,1.15 Soja,Parana,5444891,,16969660,3117
agosto 2016,1.17 Trigo,Parana,1081784,,3301870,3052
agosto 2016,15 Fumo,Parana,73715,,148992,2021
setembro 2016,1.4 Arroz,Parana,26254,,141771,5400
setembro 2016,1.8 Feijao (1 Safra),Parana,180149,,284549,1580
setembro 2016,1.9 Feijao (2 Safra),Parana,207425,,312336,1506
setembro 2016,1.10 Feijao (3 Safra),Parana,5199,,6017,1157
setembro 2016,1.13 Milho (1 Safra),Parana,423695,,3406860,8041
setembro 2016,1.14 Milho (2 Safra),Parana,2198799,,10517283,4783
setembro 2016,1.15 Soja,Parana,5444891,,16969660,3117
setembro 2016,1.17 Trigo,Parana,1083534,,3245016,2995
setembro 2016,15 Fumo,Parana,73715,,148992,2021
outubro 2016,1.4 Arroz,Parana,26254,,141771,5400
outubro 2016,1.8 Feijao (1 Safra),Parana,180149,,284549,1580
outubro 2016,1.9 Feijao (2 Safra),Parana,207425,,312336,1506
outubro 2016,1.10 Feijao (3 Safra),Parana,5199,,6017,1157
outubro 2016,1.13 Milho (1 Safra),Parana,423695,,3406860,8041
outubro 2016,1.14 Milho (2 Safra),Parana,2198799,,10517283,4783
outubro 2016,1.15 Soja,Parana,5444891,,16969660,3117
outubro 2016,1.17 Trigo,Parana,1084194,,3270518,3017
outubro 2016,15 Fumo,Parana,73715,,148992,2021
novembro 2016,1.4 Arroz,Parana,26254,,141771,5400
novembro 2016,1.8 Feijao (1 Safra),Parana,180149,,284549,1580
novembro 2016,1.9 Feijao (2 Safra),Parana,207425,,312336,1506
novembro 2016,1.10 Feijao (3 Safra),Parana,5199,,6017,1157
novembro 2016,1.13 Milho (1 Safra),Parana,423695,,3406860,8041
novembro 2016,1.14 Milho (2 Safra),Parana,2198799,,10517283,4783
novembro 2016,1.15 Soja,Parana,5444891,,16969660,3117
novembro 2016,1.17 Trigo,Parana,1084294,,3383850,3121
novembro 2016,15 Fumo,Parana,73715,,148992,2021
dezembro 2016,1.4 Arroz,Parana,26107,,117472,4500
dezembro 2016,1.8 Feijao (1 Safra),Parana,184854,,294005,1590
dezembro 2016,1.9 Feijao (2 Safra),Parana,204177,,303909,1488
dezembro 2016,1.10 Feijao (3 Safra),Parana,4663,,2194,471
dezembro 2016,1.13 Milho (1 Safra),Parana,413440,,3303508,7990
dezembro 2016,1.14 Milho (2 Safra),Parana,2197893,,10420666,4741
dezembro 2016,1.15 Soja,Parana,5449462,,16824385,3087
dezembro 2016,1.17 Trigo,Parana,1084294,,3383850,3121
dezembro 2016,15 Fumo,Parana,73696,,147991,2008
janeiro 2017,1.4 Arroz,Parana,25848,,161921,6264
janeiro 2017,1.8 Feijao (1 Safra),Parana,197931,,350139,1769
janeiro 2017,1.9 Feijao (2 Safra),Parana,218378,,405511,1857
janeiro 2017,1.10 Feijao (3 Safra),Parana,4913,,5262,1071
janeiro 2017,1.13 Milho (1 Safra),Parana,500587,,4400229,8790
janeiro 2017,1.14 Milho (2 Safra),Parana,2301622,,13479636,5857
janeiro 2017,1.15 Soja,Parana,5349774,,18524206,3463
janeiro 2017,1.17 Trigo,Parana,1084294,,2880969,2657
janeiro 2017,15 Fumo,Parana,78911,,186121,2359
fevereiro 2017,1.4 Arroz,Parana,25076,,161636,6446
fevereiro 2017,1.8 Feijao (1 Safra),Parana,197981,,361644,1827
fevereiro 2017,1.9 Feijao (2 Safra),Parana,221478,,407771,1841
fevereiro 2017,1.10 Feijao (3 Safra),Parana,4913,,5262,1071
fevereiro 2017,1.13 Milho (1 Safra),Parana,500587,,4434675,8859
fevereiro 2017,1.14 Milho (2 Safra),Parana,2281422,,13370101,5860
fevereiro 2017,1.15 Soja,Parana,5355174,,18809432,3512
fevereiro 2017,1.17 Trigo,Parana,1356958,,3869723,2852
fevereiro 2017,15 Fumo,Parana,77984,,183736,2356
marco 2017,1.4 Arroz,Parana,24876,,162716,6541
marco 2017,1.8 Feijao (1 Safra),Parana,197981,,361644,1827
marco 2017,1.9 Feijao (2 Safra),Parana,229660,,424341,1848
marco 2017,1.10 Feijao (3 Safra),Parana,3277,,3258,994
marco 2017,1.13 Milho (1 Safra),Parana,502747,,4609003,9168
marco 2017,1.14 Milho (2 Safra),Parana,2350592,,13665541,5814
marco 2017,1.15 Soja,Parana,5353745,,19234633,3593
marco 2017,1.17 Trigo,Parana,1048910,,3295429,3142
marco 2017,15 Fumo,Parana,77984,,184016,2360
abril 2017,1.4 Arroz,Parana,24876,,162716,6541
abril 2017,1.8 Feijao (1 Safra),Parana,197981,,361644,1827
abril 2017,1.9 Feijao (2 Safra),Parana,229660,,424341,1848
abril 2017,1.10 Feijao (3 Safra),Parana,3277,,3258,994
abril 2017,1.13 Milho (1 Safra),Parana,502806,,4646548,9241
abril 2017,1.14 Milho (2 Safra),Parana,2377932,,13877010,5836
abril 2017,1.15 Soja,Parana,5363973,,19584146,3651
abril 2017,1.17 Trigo,Parana,998980,,3149806,3153
abril 2017,15 Fumo,Parana,77984,,184016,2360
maio 2017,1.4 Arroz,Parana,25111,,163078,6494
