Data,Produto,Estado,Área Colhida (ha),Área Plantada (ha),Produção (t),Rendimento Médio (kg/ha)
julho 2018,1.4 Arroz,Rio Grande do Sul,1065348,1065617,8131261,7632
julho 2018,1.8 Feijao (1 Safra),Rio Grande do Sul,39905,40184,65810,1649
julho 2018,1.9 Feijao (2 Safra),Rio Grande do Sul,18514,18514,30047,1623
julho 2018,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
julho 2018,1.13 Milho (1 Safra),Rio Grande do Sul,693247,701357,4528427,6532
julho 2018,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
julho 2018,1.15 Soja,Rio Grande do Sul,5621443,5679427,17387080,3093
julho 2018,1.17 Trigo,Rio Grande do Sul,691553,691553,1557346,2252
julho 2018,15 Fumo,Rio Grande do Sul,185163,185517,368322,1989
agosto 2018,1.4 Arroz,Rio Grande do Sul,1067621,1068351,8396053,7864
agosto 2018,1.8 Feijao (1 Safra),Rio Grande do Sul,39544,39823,64376,1628
agosto 2018,1.9 Feijao (2 Safra),Rio Grande do Sul,19543,19543,30565,1564
agosto 2018,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
agosto 2018,1.13 Milho (1 Safra),Rio Grande do Sul,690177,699385,4514545,6541
agosto 2018,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
agosto 2018,1.15 Soja,Rio Grande do Sul,5651995,5758133,17546405,3104
agosto 2018,1.17 Trigo,Rio Grande do Sul,676200,676200,2002061,2961
agosto 2018,15 Fumo,Rio Grande do Sul,180845,181199,358731,1984
setembro 2018,1.4 Arroz,Rio Grande do Sul,1067621,1068351,8396053,7864
setembro 2018,1.8 Feijao (1 Safra),Rio Grande do Sul,39544,39823,64376,1628
setembro 2018,1.9 Feijao (2 Safra),Rio Grande do Sul,19543,19543,30565,1564
setembro 2018,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
setembro 2018,1.13 Milho (1 Safra),Rio Grande do Sul,695177,704385,4552915,6549
setembro 2018,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
setembro 2018,1.15 Soja,Rio Grande do Sul,5651995,5758133,17538725,3103
setembro 2018,1.17 Trigo,Rio Grande do Sul,690370,690370,2072504,3002
setembro 2018,15 Fumo,Rio Grande do Sul,180845,181199,358731,1984
outubro 2018,1.4 Arroz,Rio Grande do Sul,1068331,1069061,8406616,7869
outubro 2018,1.8 Feijao (1 Safra),Rio Grande do Sul,39519,39798,64321,1628
outubro 2018,1.9 Feijao (2 Safra),Rio Grande do Sul,19543,19543,30565,1564
outubro 2018,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
outubro 2018,1.13 Milho (1 Safra),Rio Grande do Sul,696877,706085,4565665,6552
outubro 2018,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
outubro 2018,1.15 Soja,Rio Grande do Sul,5651050,5709034,17538575,3104
outubro 2018,1.17 Trigo,Rio Grande do Sul,705906,705906,2105498,2983
outubro 2018,15 Fumo,Rio Grande do Sul,180845,181199,358731,1984
novembro 2018,1.4 Arroz,Rio Grande do Sul,1068331,1069061,8406616,7869
novembro 2018,1.8 Feijao (1 Safra),Rio Grande do Sul,39519,39798,64321,1628
novembro 2018,1.9 Feijao (2 Safra),Rio Grande do Sul,19543,19543,30565,1564
novembro 2018,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
novembro 2018,1.13 Milho (1 Safra),Rio Grande do Sul,696877,706085,4565665,6552
novembro 2018,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
novembro 2018,1.15 Soja,Rio Grande do Sul,5651050,5709034,17538575,3104
novembro 2018,1.17 Trigo,Rio Grande do Sul,705906,705906,2105498,2983
novembro 2018,15 Fumo,Rio Grande do Sul,180845,181199,358731,1984
dezembro 2018,1.4 Arroz,Rio Grande do Sul,1067581,1068311,8401785,7870
dezembro 2018,1.8 Feijao (1 Safra),Rio Grande do Sul,39519,39798,64321,1628
dezembro 2018,1.9 Feijao (2 Safra),Rio Grande do Sul,19543,19543,30565,1564
dezembro 2018,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
dezembro 2018,1.13 Milho (1 Safra),Rio Grande do Sul,696872,706080,4565633,6552
dezembro 2018,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
dezembro 2018,1.15 Soja,Rio Grande do Sul,5651050,5709034,17538575,3104
dezembro 2018,1.17 Trigo,Rio Grande do Sul,710158,710158,1753099,2469
dezembro 2018,15 Fumo,Rio Grande do Sul,180845,181199,358732,1984
janeiro 2019,1.4 Arroz,Rio Grande do Sul,1013938,1013938,7942451,7833
janeiro 2019,1.8 Feijao (1 Safra),Rio Grande do Sul,36878,36882,60254,1634
janeiro 2019,1.9 Feijao (2 Safra),Rio Grande do Sul,19277,19277,30848,1600
janeiro 2019,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
janeiro 2019,1.13 Milho (1 Safra),Rio Grande do Sul,751889,751939,5372406,7145
janeiro 2019,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
janeiro 2019,1.15 Soja,Rio Grande do Sul,5805001,5805001,18612161,3206
janeiro 2019,1.17 Trigo,Rio Grande do Sul,676200,676200,1426106,2109
janeiro 2019,15 Fumo,Rio Grande do Sul,172375,172840,361328,2096
fevereiro 2019,1.4 Arroz,Rio Grande do Sul,975015,991609,7291751,7479
fevereiro 2019,1.8 Feijao (1 Safra),Rio Grande do Sul,36230,36384,58027,1602
fevereiro 2019,1.9 Feijao (2 Safra),Rio Grande do Sul,16580,16580,25226,1521
fevereiro 2019,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
fevereiro 2019,1.13 Milho (1 Safra),Rio Grande do Sul,760453,760753,5510104,7246
fevereiro 2019,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
fevereiro 2019,1.15 Soja,Rio Grande do Sul,5750202,5806922,18449563,3209
fevereiro 2019,1.17 Trigo,Rio Grande do Sul,676200,676200,1426106,2109
fevereiro 2019,15 Fumo,Rio Grande do Sul,170898,171363,358060,2095
marco 2019,1.4 Arroz,Rio Grande do Sul,971703,987705,7374909,7590
marco 2019,1.8 Feijao (1 Safra),Rio Grande do Sul,36744,36911,58967,1605
marco 2019,1.9 Feijao (2 Safra),Rio Grande do Sul,23206,23206,37259,1606
marco 2019,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
marco 2019,1.13 Milho (1 Safra),Rio Grande do Sul,763900,764265,5706331,7470
marco 2019,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
marco 2019,1.15 Soja,Rio Grande do Sul,5772070,5828790,18663864,3233
marco 2019,1.17 Trigo,Rio Grande do Sul,676200,676200,1426106,2109
marco 2019,15 Fumo,Rio Grande do Sul,173823,174288,366663,2109
abril 2019,1.4 Arroz,Rio Grande do Sul,971703,987705,7374909,7590
abril 2019,1.8 Feijao (1 Safra),Rio Grande do Sul,36744,36911,58967,1605
abril 2019,1.9 Feijao (2 Safra),Rio Grande do Sul,23206,23206,37259,1606
abril 2019,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
abril 2019,1.13 Milho (1 Safra),Rio Grande do Sul,763900,764265,5706331,7470
abril 2019,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
abril 2019,1.15 Soja,Rio Grande do Sul,5772070,5828790,18663864,3233
abril 2019,1.17 Trigo,Rio Grande do Sul,676200,676200,1426106,2109
abril 2019,15 Fumo,Rio Grande do Sul,173823,174288,366663,2109
maio 2019,1.4 Arroz,Rio Grande do Sul,967323,981410,7317218,7564
maio 2019,1.8 Feijao (1 Safra),Rio Grande do Sul,36664,36831,58051,1583
maio 2019,1.9 Feijao (2 Safra),Rio Grande do Sul,25461,25476,40573,1594
maio 2019,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
maio 2019,1.13 Milho (1 Safra),Rio Grande do Sul,763880,764195,5744024,7520
maio 2019,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
maio 2019,1.15 Soja,Rio Grande do Sul,5791852,5848766,18497272,3194
maio 2019,1.17 Trigo,Rio Grande do Sul,705704,705704,2056723,2914
maio 2019,15 Fumo,Rio Grande do Sul,173813,174278,371888,2140
junho 2019,1.4 Arroz,Rio Grande do Sul,967323,981410,7317218,7564
junho 2019,1.8 Feijao (1 Safra),Rio Grande do Sul,36664,36831,58051,1583
junho 2019,1.9 Feijao (2 Safra),Rio Grande do Sul,25461,25476,40573,1594
junho 2019,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
junho 2019,1.13 Milho (1 Safra),Rio Grande do Sul,763880,764195,5744024,7520
junho 2019,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
junho 2019,1.15 Soja,Rio Grande do Sul,5791852,5848766,18497272,3194
junho 2019,1.17 Trigo,Rio Grande do Sul,705704,705704,2056723,2914
junho 2019,15 Fumo,Rio Grande do Sul,173813,174278,371888,2140
julho 2019,1.4 Arroz,Rio Grande do Sul,966938,981287,7173313,7419
julho 2019,1.8 Feijao (1 Safra),Rio Grande do Sul,36499,36666,57867,1585
julho 2019,1.9 Feijao (2 Safra),Rio Grande do Sul,25046,25499,34036,1359
julho 2019,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
julho 2019,1.13 Milho (1 Safra),Rio Grande do Sul,763641,763956,5739403,7516
julho 2019,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
julho 2019,1.15 Soja,Rio Grande do Sul,5819096,5843714,18487353,3177
julho 2019,1.17 Trigo,Rio Grande do Sul,754162,754162,2281164,3025
julho 2019,15 Fumo,Rio Grande do Sul,173812,174277,373713,2150
agosto 2019,1.4 Arroz,Rio Grande do Sul,966938,981287,7173313,7419
agosto 2019,1.8 Feijao (1 Safra),Rio Grande do Sul,36499,36666,57867,1585
agosto 2019,1.9 Feijao (2 Safra),Rio Grande do Sul,25046,25499,34036,1359
agosto 2019,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
agosto 2019,1.13 Milho (1 Safra),Rio Grande do Sul,763641,763956,5739403,7516
agosto 2019,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
agosto 2019,1.15 Soja,Rio Grande do Sul,5819096,5843714,18487353,3177
agosto 2019,1.17 Trigo,Rio Grande do Sul,754162,754162,2281164,3025
agosto 2019,15 Fumo,Rio Grande do Sul,173812,174277,373713,2150
setembro 2019,1.4 Arroz,Rio Grande do Sul,966938,981287,7173313,7419
setembro 2019,1.8 Feijao (1 Safra),Rio Grande do Sul,36499,36666,57867,1585
setembro 2019,1.9 Feijao (2 Safra),Rio Grande do Sul,25016,25469,33989,1359
setembro 2019,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
setembro 2019,1.13 Milho (1 Safra),Rio Grande do Sul,763641,763956,5739403,7516
setembro 2019,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
setembro 2019,1.15 Soja,Rio Grande do Sul,5818895,5843513,18493720,3178
setembro 2019,1.17 Trigo,Rio Grande do Sul,755202,755202,2291927,3035
setembro 2019,15 Fumo,Rio Grande do Sul,173812,174277,373713,2150
outubro 2019,1.4 Arroz,Rio Grande do Sul,966938,981287,7172102,7417
outubro 2019,1.8 Feijao (1 Safra),Rio Grande do Sul,36499,36666,57867,1585
outubro 2019,1.9 Feijao (2 Safra),Rio Grande do Sul,25016,25469,33989,1359
outubro 2019,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
outubro 2019,1.13 Milho (1 Safra),Rio Grande do Sul,763591,763906,5738614,7515
outubro 2019,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
outubro 2019,1.15 Soja,Rio Grande do Sul,5818915,5843533,18495151,3178
outubro 2019,1.17 Trigo,Rio Grande do Sul,754900,754900,2317114,3069
outubro 2019,15 Fumo,Rio Grande do Sul,173572,174037,373447,2152
novembro 2019,1.4 Arroz,Rio Grande do Sul,966938,981287,7172102,7417
novembro 2019,1.8 Feijao (1 Safra),Rio Grande do Sul,36499,36666,57867,1585
novembro 2019,1.9 Feijao (2 Safra),Rio Grande do Sul,25016,25469,33989,1359
novembro 2019,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
novembro 2019,1.13 Milho (1 Safra),Rio Grande do Sul,763591,763906,5738614,7515
novembro 2019,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
novembro 2019,1.15 Soja,Rio Grande do Sul,5818915,5843533,18495151,3178
novembro 2019,1.17 Trigo,Rio Grande do Sul,754900,754900,2317114,3069
novembro 2019,15 Fumo,Rio Grande do Sul,173572,174037,373447,2152
dezembro 2019,1.4 Arroz,Rio Grande do Sul,966938,981287,7172102,7417
dezembro 2019,1.8 Feijao (1 Safra),Rio Grande do Sul,36499,36666,57867,1585
dezembro 2019,1.9 Feijao (2 Safra),Rio Grande do Sul,25016,25469,33989,1359
dezembro 2019,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
dezembro 2019,1.13 Milho (1 Safra),Rio Grande do Sul,763591,763906,5738614,7515
dezembro 2019,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
dezembro 2019,1.15 Soja,Rio Grande do Sul,5818915,5843533,18495151,3178
dezembro 2019,1.17 Trigo,Rio Grande do Sul,760911,760914,2286672,3005
dezembro 2019,15 Fumo,Rio Grande do Sul,173572,174037,373447,2152
janeiro 2020,1.4 Arroz,Rio Grande do Sul,947375,947875,7300059,7706
janeiro 2020,1.8 Feijao (1 Safra),Rio Grande do Sul,36608,36658,64783,1770
janeiro 2020,1.9 Feijao (2 Safra),Rio Grande do Sul,24934,24934,36880,1479
janeiro 2020,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
janeiro 2020,1.13 Milho (1 Safra),Rio Grande do Sul,779342,779392,5886185,7553
janeiro 2020,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
janeiro 2020,1.15 Soja,Rio Grande do Sul,5930249,5930249,19265677,3249
janeiro 2020,1.17 Trigo,Rio Grande do Sul,754162,754162,1827335,2423
janeiro 2020,15 Fumo,Rio Grande do Sul,170338,170388,344862,2025
fevereiro 2020,1.4 Arroz,Rio Grande do Sul,947375,947875,7300059,7706
fevereiro 2020,1.8 Feijao (1 Safra),Rio Grande do Sul,36608,36658,64783,1770
fevereiro 2020,1.9 Feijao (2 Safra),Rio Grande do Sul,24934,24934,36880,1479
fevereiro 2020,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
fevereiro 2020,1.13 Milho (1 Safra),Rio Grande do Sul,779342,779392,5886185,7553
fevereiro 2020,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
fevereiro 2020,1.15 Soja,Rio Grande do Sul,5930249,5930249,19265677,3249
fevereiro 2020,1.17 Trigo,Rio Grande do Sul,754162,754162,1827335,2423
fevereiro 2020,15 Fumo,Rio Grande do Sul,170338,170388,344862,2025
marco 2020,1.4 Arroz,Rio Grande do Sul,948925,949575,7485176,7888
marco 2020,1.8 Feijao (1 Safra),Rio Grande do Sul,36882,36987,58104,1575
marco 2020,1.9 Feijao (2 Safra),Rio Grande do Sul,23344,23514,34415,1474
marco 2020,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
marco 2020,1.13 Milho (1 Safra),Rio Grande do Sul,745465,757073,4629486,6210
marco 2020,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
marco 2020,1.15 Soja,Rio Grande do Sul,5862802,5976049,13369911,2280
marco 2020,1.17 Trigo,Rio Grande do Sul,753987,753987,1887577,2503
marco 2020,15 Fumo,Rio Grande do Sul,169002,169477,291387,1724
abril 2020,1.4 Arroz,Rio Grande do Sul,948925,949575,7485176,7888
abril 2020,1.8 Feijao (1 Safra),Rio Grande do Sul,36882,36987,58104,1575
abril 2020,1.9 Feijao (2 Safra),Rio Grande do Sul,23344,23514,34415,1474
abril 2020,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
abril 2020,1.13 Milho (1 Safra),Rio Grande do Sul,745465,757073,4629486,6210
abril 2020,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
abril 2020,1.15 Soja,Rio Grande do Sul,5862802,5976049,13369911,2280
abril 2020,1.17 Trigo,Rio Grande do Sul,753987,753987,1887577,2503
abril 2020,15 Fumo,Rio Grande do Sul,169002,169477,291387,1724
maio 2020,1.4 Arroz,Rio Grande do Sul,950211,951012,7678388,8081
maio 2020,1.8 Feijao (1 Safra),Rio Grande do Sul,36904,37029,54209,1469
maio 2020,1.9 Feijao (2 Safra),Rio Grande do Sul,22588,23244,28562,1264
maio 2020,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
maio 2020,1.13 Milho (1 Safra),Rio Grande do Sul,742385,752593,4203143,5662
maio 2020,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
maio 2020,1.15 Soja,Rio Grande do Sul,5959630,5980832,11221247,1883
maio 2020,1.17 Trigo,Rio Grande do Sul,821999,821999,2451943,2983
maio 2020,15 Fumo,Rio Grande do Sul,168911,169386,289013,1711
junho 2020,1.4 Arroz,Rio Grande do Sul,950211,951012,7678388,8081
junho 2020,1.8 Feijao (1 Safra),Rio Grande do Sul,36904,37029,54209,1469
junho 2020,1.9 Feijao (2 Safra),Rio Grande do Sul,22588,23244,28562,1264
junho 2020,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
junho 2020,1.13 Milho (1 Safra),Rio Grande do Sul,742385,752593,4203143,5662
junho 2020,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
junho 2020,1.15 Soja,Rio Grande do Sul,5959630,5980832,11221247,1883
junho 2020,1.17 Trigo,Rio Grande do Sul,821999,821999,2451943,2983
junho 2020,15 Fumo,Rio Grande do Sul,168911,169386,289013,1711
julho 2020,1.4 Arroz,Rio Grande do Sul,949434,951218,7765965,8180
julho 2020,1.8 Feijao (1 Safra),Rio Grande do Sul,36907,37032,54190,1468
julho 2020,1.9 Feijao (2 Safra),Rio Grande do Sul,22363,23379,26375,1179
julho 2020,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
julho 2020,1.13 Milho (1 Safra),Rio Grande do Sul,741785,751673,4150697,5596
julho 2020,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
julho 2020,1.15 Soja,Rio Grande do Sul,5960469,5981671,11224010,1883
julho 2020,1.17 Trigo,Rio Grande do Sul,924038,924038,2861299,3097
julho 2020,15 Fumo,Rio Grande do Sul,168961,169386,289238,1712
agosto 2020,1.4 Arroz,Rio Grande do Sul,949434,951218,7765965,8180
agosto 2020,1.8 Feijao (1 Safra),Rio Grande do Sul,36907,37032,54190,1468
agosto 2020,1.9 Feijao (2 Safra),Rio Grande do Sul,22363,23379,26375,1179
agosto 2020,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
agosto 2020,1.13 Milho (1 Safra),Rio Grande do Sul,741785,751673,4150697,5596
agosto 2020,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
agosto 2020,1.15 Soja,Rio Grande do Sul,5960469,5981671,11224010,1883
agosto 2020,1.17 Trigo,Rio Grande do Sul,924038,924038,2861299,3097
agosto 2020,15 Fumo,Rio Grande do Sul,168961,169386,289238,1712
setembro 2020,1.4 Arroz,Rio Grande do Sul,949434,951218,7765965,8180
setembro 2020,1.8 Feijao (1 Safra),Rio Grande do Sul,36907,37032,54172,1468
setembro 2020,1.9 Feijao (2 Safra),Rio Grande do Sul,22363,23379,26335,1178
setembro 2020,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
setembro 2020,1.13 Milho (1 Safra),Rio Grande do Sul,741785,751673,4151507,5597
setembro 2020,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
setembro 2020,1.15 Soja,Rio Grande do Sul,5960469,5981671,11215370,1882
setembro 2020,1.17 Trigo,Rio Grande do Sul,934279,934279,2528905,2707
setembro 2020,15 Fumo,Rio Grande do Sul,168961,169386,289238,1712
outubro 2020,1.4 Arroz,Rio Grande do Sul,949670,951454,7773220,8185
outubro 2020,1.8 Feijao (1 Safra),Rio Grande do Sul,36907,37032,54797,1485
outubro 2020,1.9 Feijao (2 Safra),Rio Grande do Sul,22363,23279,26336,1178
outubro 2020,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
outubro 2020,1.13 Milho (1 Safra),Rio Grande do Sul,741785,751673,4208693,5674
outubro 2020,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
outubro 2020,1.15 Soja,Rio Grande do Sul,5959469,5980671,11289663,1894
outubro 2020,1.17 Trigo,Rio Grande do Sul,950655,950955,2300543,2420
outubro 2020,15 Fumo,Rio Grande do Sul,168961,169386,288013,1705
novembro 2020,1.4 Arroz,Rio Grande do Sul,949670,951454,7773220,8185
novembro 2020,1.8 Feijao (1 Safra),Rio Grande do Sul,36907,37032,54797,1485
novembro 2020,1.9 Feijao (2 Safra),Rio Grande do Sul,22363,23279,26336,1178
novembro 2020,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
novembro 2020,1.13 Milho (1 Safra),Rio Grande do Sul,741785,751673,4208693,5674
novembro 2020,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
novembro 2020,1.15 Soja,Rio Grande do Sul,5959469,5980671,11289663,1894
novembro 2020,1.17 Trigo,Rio Grande do Sul,950655,950955,2300543,2420
novembro 2020,15 Fumo,Rio Grande do Sul,168961,169386,288013,1705
dezembro 2020,1.4 Arroz,Rio Grande do Sul,949613,951397,7768085,8180
dezembro 2020,1.8 Feijao (1 Safra),Rio Grande do Sul,36907,37032,54797,1485
dezembro 2020,1.9 Feijao (2 Safra),Rio Grande do Sul,22363,23279,26337,1178
dezembro 2020,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
dezembro 2020,1.13 Milho (1 Safra),Rio Grande do Sul,741785,751673,4208693,5674
dezembro 2020,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
dezembro 2020,1.15 Soja,Rio Grande do Sul,5959469,5980671,11295193,1895
dezembro 2020,1.17 Trigo,Rio Grande do Sul,953382,953832,2104160,2207
dezembro 2020,15 Fumo,Rio Grande do Sul,166315,166740,288497,1735
janeiro 2021,1.4 Arroz,Rio Grande do Sul,963661,963860,7619984,7907
janeiro 2021,1.8 Feijao (1 Safra),Rio Grande do Sul,36883,37286,58454,1585
janeiro 2021,1.9 Feijao (2 Safra),Rio Grande do Sul,22017,22446,31519,1432
janeiro 2021,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
janeiro 2021,1.13 Milho (1 Safra),Rio Grande do Sul,788212,790762,4585604,5818
janeiro 2021,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
janeiro 2021,1.15 Soja,Rio Grande do Sul,6075058,6075058,19421238,3197
janeiro 2021,1.17 Trigo,Rio Grande do Sul,924038,924038,2639977,2857
janeiro 2021,15 Fumo,Rio Grande do Sul,163949,163949,343314,2094
fevereiro 2021,1.4 Arroz,Rio Grande do Sul,955867,955867,7606694,7958
fevereiro 2021,1.8 Feijao (1 Safra),Rio Grande do Sul,37044,37462,59987,1619
fevereiro 2021,1.9 Feijao (2 Safra),Rio Grande do Sul,21485,21894,32061,1492
fevereiro 2021,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
fevereiro 2021,1.13 Milho (1 Safra),Rio Grande do Sul,781927,784787,4435388,5672
fevereiro 2021,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
fevereiro 2021,1.15 Soja,Rio Grande do Sul,6087229,6087229,19514310,3206
fevereiro 2021,1.17 Trigo,Rio Grande do Sul,930045,930045,2629595,2827
fevereiro 2021,15 Fumo,Rio Grande do Sul,163910,163910,349318,2131
marco 2021,1.4 Arroz,Rio Grande do Sul,950106,950106,7706548,8111
marco 2021,1.8 Feijao (1 Safra),Rio Grande do Sul,35943,36361,54650,1520
marco 2021,1.9 Feijao (2 Safra),Rio Grande do Sul,24035,24174,37571,1563
marco 2021,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
marco 2021,1.13 Milho (1 Safra),Rio Grande do Sul,781100,784460,4429108,5670
marco 2021,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
marco 2021,1.15 Soja,Rio Grande do Sul,6091873,6091873,19649811,3226
marco 2021,1.17 Trigo,Rio Grande do Sul,914455,914455,2569054,2809
marco 2021,15 Fumo,Rio Grande do Sul,163899,163899,347955,2123
abril 2021,1.4 Arroz,Rio Grande do Sul,950106,950106,7706548,8111
abril 2021,1.8 Feijao (1 Safra),Rio Grande do Sul,35943,36361,54650,1520
abril 2021,1.9 Feijao (2 Safra),Rio Grande do Sul,24035,24174,37571,1563
abril 2021,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
abril 2021,1.13 Milho (1 Safra),Rio Grande do Sul,781100,784460,4429108,5670
abril 2021,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
abril 2021,1.15 Soja,Rio Grande do Sul,6091873,6091873,19649811,3226
abril 2021,1.17 Trigo,Rio Grande do Sul,914455,914455,2569054,2809
abril 2021,15 Fumo,Rio Grande do Sul,163899,163899,347955,2123
maio 2021,1.4 Arroz,Rio Grande do Sul,949867,949867,7970168,8391
maio 2021,1.8 Feijao (1 Safra),Rio Grande do Sul,36110,36578,54265,1503
maio 2021,1.9 Feijao (2 Safra),Rio Grande do Sul,24317,24496,36528,1502
maio 2021,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
maio 2021,1.13 Milho (1 Safra),Rio Grande do Sul,775277,779387,4351288,5613
maio 2021,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
maio 2021,1.15 Soja,Rio Grande do Sul,6095677,6095677,20259588,3324
maio 2021,1.17 Trigo,Rio Grande do Sul,1021353,1021353,3064586,3001
maio 2021,15 Fumo,Rio Grande do Sul,163898,163898,348059,2124
junho 2021,1.4 Arroz,Rio Grande do Sul,949867,949867,7970168,8391
junho 2021,1.8 Feijao (1 Safra),Rio Grande do Sul,36110,36578,54265,1503
junho 2021,1.9 Feijao (2 Safra),Rio Grande do Sul,24317,24496,36528,1502
junho 2021,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
junho 2021,1.13 Milho (1 Safra),Rio Grande do Sul,775277,779387,4351288,5613
junho 2021,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
junho 2021,1.15 Soja,Rio Grande do Sul,6095677,6095677,20259588,3324
junho 2021,1.17 Trigo,Rio Grande do Sul,1021353,1021353,3064586,3001
junho 2021,15 Fumo,Rio Grande do Sul,163898,163898,348059,2124
julho 2021,1.4 Arroz,Rio Grande do Sul,948573,948573,8254155,8702
julho 2021,1.8 Feijao (1 Safra),Rio Grande do Sul,36110,36578,54319,1504
julho 2021,1.9 Feijao (2 Safra),Rio Grande do Sul,24533,24712,35826,1460
julho 2021,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
julho 2021,1.13 Milho (1 Safra),Rio Grande do Sul,776277,780337,4391760,5657
julho 2021,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
julho 2021,1.15 Soja,Rio Grande do Sul,6107208,6107270,20401342,3341
julho 2021,1.17 Trigo,Rio Grande do Sul,1127077,1127507,3411714,3027
julho 2021,15 Fumo,Rio Grande do Sul,162457,162457,344729,2122
agosto 2021,1.4 Arroz,Rio Grande do Sul,948573,948573,8254155,8702
agosto 2021,1.8 Feijao (1 Safra),Rio Grande do Sul,36110,36578,54319,1504
agosto 2021,1.9 Feijao (2 Safra),Rio Grande do Sul,24533,24712,35826,1460
agosto 2021,1.10 Feijao (3 Safra),Rio Grande do Sul,,,,
agosto 2021,1.13 Milho (1 Safra),Rio Grande do Sul,776277,780337,4391760,5657
agosto 2021,1.14 Milho (2 Safra),Rio Grande do Sul,,,,
agosto 2021,1.15 Soja,Rio Grande do Sul,6107208,6107270,20401342,3341
agosto 2021,1.17 Trigo,Rio Grande do Sul,1127077,1127507,3411714,3027
agosto 2021,15 Fumo,Rio Grande do Sul,162457,162457,344729,2122
setembro 2021,1.4 Arroz,Rio Grande do Sul,948573,948573,8254155,8702
