Data,Estado,Temperatura Media,Precipitacao Total,Pressao Atmosferica Media,Vento Velocidade Media
062023,1,13.0,55.6,764.0,1.3
052023,1,15.3,37.3,800.3,1.2
032023,1,17.8,96.9,723.1,1.3
112023,1,18.1,152.6,757.3,1.8
102023,1,15.6,247.9,685.8,1.7
092023,1,18.1,78.0,793.8,1.8
042024,1,16.3,101.4,687.7,1.2
082024,1,16.8,19.3,651.6,1.4
122024,1,19.6,183.1,756.7,1.5
022024,1,18.8,102.1,724.3,1.3
012024,1,19.0,122.9,757.9,1.4
072024,1,10.3,56.4,581.6,1.0
062024,1,12.1,27.0,614.6,1.2
052024,1,12.7,65.1,577.2,1.1
032024,1,18.4,64.9,687.1,1.3
112024,1,21.1,144.2,867.2,1.8
102024,1,18.5,104.3,758.0,1.8
092024,1,17.7,67.9,758.9,1.6
042014,3,18.2,98.1,927.4,2.3
082014,3,14.0,69.4,901.1,2.4
122014,3,21.9,187.6,920.8,2.7
022014,3,21.5,175.1,846.8,2.4
012014,3,21.2,156.4,870.3,2.3
072014,3,12.6,87.5,848.9,2.3
062014,3,9.8,153.2,694.5,1.9
052014,3,13.7,127.0,853.0,1.7
032014,3,19.8,149.9,847.7,2.0
112014,3,20.4,104.8,921.1,2.6
102014,3,18.7,139.8,820.0,2.6
092014,3,15.8,192.2,898.3,2.8
042015,3,18.4,82.3,872.3,2.0
082015,3,16.5,84.1,848.0,2.6
122015,3,20.0,231.4,846.2,2.4
022015,3,20.6,96.0,871.4,2.2
012015,3,21.5,189.9,897.4,2.3
072015,3,12.2,165.4,826.2,1.9
062015,3,12.5,124.3,824.7,2.0
052015,3,14.7,121.8,873.6,2.1
032015,3,20.3,71.0,922.9,2.2
112015,3,17.5,137.8,871.5,2.6
102015,3,16.5,211.4,899.4,2.7
092015,3,14.1,138.1,796.7,2.1
042016,3,17.1,154.6,755.8,2.1
082016,3,13.8,103.4,905.2,2.2
122016,3,22.1,139.1,924.4,2.6
022016,3,21.7,100.9,796.4,1.8
012016,3,21.7,85.5,872.5,2.4
072016,3,11.0,87.0,853.9,2.1
062016,3,7.6,23.8,710.4,1.3
052016,3,11.4,56.1,709.2,1.5
032016,3,18.0,163.5,803.4,2.2
112016,3,19.2,116.7,930.3,2.6
102016,3,17.7,222.7,953.7,2.9
