Data,Produto,Estado,Área Colhida (ha),Produção (t),Rendimento Médio (kg/ha),Temperatura Media,Precipitacao Total,Pressao Atmosferica Media,Vento Velocidade Media
082020,5,1,355900.0,3564900.0,10017.0,14.18,86.32,653.95,1.31
082020,6,1,2276600.0,11771200.0,5171.0,14.18,86.32,653.95,1.31
082020,7,1,5505000.0,20755300.0,3770.0,14.18,86.32,653.95,1.31
082020,8,1,1113100.0,3474700.0,3122.0,14.18,86.32,653.95,1.31
082020,9,1,71300.0,175200.0,2457.0,14.18,86.32,653.95,1.31
092020,1,1,20800.0,150600.0,7240.0,15.65,16.95,613.36,1.31
092020,2,1,152500.0,319700.0,2096.0,15.65,16.95,613.36,1.31
092020,3,1,224900.0,268700.0,1195.0,15.65,16.95,613.36,1.31
092020,4,1,2000.0,2200.0,1100.0,15.65,16.95,613.36,1.31
092020,5,1,355900.0,3564900.0,10017.0,15.65,16.95,613.36,1.31
092020,6,1,2281200.0,11658600.0,5111.0,15.65,16.95,613.36,1.31
092020,7,1,5511200.0,20773900.0,3769.0,15.65,16.95,613.36,1.31
092020,8,1,1114200.0,3323400.0,2983.0,15.65,16.95,613.36,1.31
092020,9,1,71300.0,175200.0,2457.0,15.65,16.95,613.36,1.31
102020,1,1,21100.0,151600.0,7185.0,13.41,42.25,577.2,1.28
102020,2,1,152500.0,319700.0,2096.0,13.41,42.25,577.2,1.28
102020,3,1,224900.0,268700.0,1195.0,13.41,42.25,577.2,1.28
102020,4,1,2000.0,2200.0,1100.0,13.41,42.25,577.2,1.28
102020,5,1,355900.0,3564900.0,10017.0,13.41,42.25,577.2,1.28
102020,6,1,2286000.0,11659300.0,5100.0,13.41,42.25,577.2,1.28
102020,7,1,5512600.0,20842400.0,3781.0,13.41,42.25,577.2,1.28
102020,8,1,1114200.0,3127000.0,2806.0,13.41,42.25,577.2,1.28
102020,9,1,71300.0,175200.0,2457.0,13.41,42.25,577.2,1.28
112020,1,1,21100.0,151600.0,7185.0,13.34,36.82,542.41,1.1
112020,2,1,152400.0,316200.0,2075.0,13.34,36.82,542.41,1.1
112020,3,1,224900.0,268700.0,1195.0,13.34,36.82,542.41,1.1
112020,4,1,2000.0,2200.0,1100.0,13.34,36.82,542.41,1.1
112020,5,1,355900.0,3564900.0,10017.0,13.34,36.82,542.41,1.1
112020,6,1,2286700.0,11661800.0,5100.0,13.34,36.82,542.41,1.1
112020,7,1,5512200.0,20841100.0,3781.0,13.34,36.82,542.41,1.1
112020,8,1,1122000.0,3052800.0,2721.0,13.34,36.82,542.41,1.1
112020,9,1,71300.0,175200.0,2457.0,13.34,36.82,542.41,1.1
122020,1,1,21100.0,151600.0,7185.0,10.21,62.96,428.58,0.88
122020,2,1,152400.0,316200.0,2075.0,10.21,62.96,428.58,0.88
122020,3,1,224900.0,268700.0,1195.0,10.21,62.96,428.58,0.88
122020,4,1,2000.0,2200.0,1100.0,10.21,62.96,428.58,0.88
122020,5,1,355900.0,3564900.0,10017.0,10.21,62.96,428.58,0.88
122020,6,1,2286700.0,11661800.0,5100.0,10.21,62.96,428.58,0.88
122020,7,1,5516700.0,20871900.0,3783.0,10.21,62.96,428.58,0.88
122020,8,1,1116000.0,3067300.0,2748.0,10.21,62.96,428.58,0.88
122020,9,1,71300.0,175200.0,2457.0,10.21,62.96,428.58,0.88
012021,1,1,21100.0,147500.0,6991.0,10.01,116.92,462.71,0.88
012021,2,1,151400.0,283900.0,1875.0,10.01,116.92,462.71,0.88
012021,3,1,227200.0,468800.0,2063.0,10.01,116.92,462.71,0.88
012021,4,1,2500.0,3000.0,1200.0,10.01,116.92,462.71,0.88
012021,5,1,358700.0,3365200.0,9382.0,10.01,116.92,462.71,0.88
012021,6,1,2365500.0,13582800.0,5742.0,10.01,116.92,462.71,0.88
012021,7,1,5617100.0,20500700.0,3650.0,10.01,116.92,462.71,0.88
012021,8,1,1028400.0,2144000.0,2085.0,10.01,116.92,462.71,0.88
012021,9,1,65300.0,152900.0,2342.0,10.01,116.92,462.71,0.88
022021,1,1,21100.0,148400.0,7033.0,10.07,18.53,429.76,0.78
022021,2,1,151700.0,254600.0,1678.0,10.07,18.53,429.76,0.78
022021,3,1,233200.0,460900.0,1976.0,10.07,18.53,429.76,0.78
022021,4,1,2000.0,2200.0,1100.0,10.07,18.53,429.76,0.78
022021,5,1,359700.0,3171000.0,8816.0,10.07,18.53,429.76,0.78
022021,6,1,2375100.0,13553000.0,5706.0,10.07,18.53,429.76,0.78
022021,7,1,5616300.0,20449000.0,3641.0,10.07,18.53,429.76,0.78
