Data Medicao,TemperaturaMedia C?,CodEstacao,Nome,"PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)",n
abril 2015,22.8,A847, Parana,"214,2","1015,8","2,2",
maio 2015,20.4,A847, Parana,"205,8","1017,8","1,9",
junho 2015,18.9,A847, Parana,"99,6","1020,1","2,1",
julho 2015,18.6,A847, Parana,122,"1018,3",2,
agosto 2015,20.2,A847, Parana,"34,6","1018,2","2,3",
setembro 2015,20.3,A847, Parana,"143,6","1014,5","2,4",
outubro 2015,20.3,A847, Parana,"226,6","1015,9","2,4",
novembro 2015,21.7,A847, Parana,"346,6","1012,5","2,3",
dezembro 2015,24.9,A847, Parana,"187,8","1011,9","2,8",
janeiro 2016,25.2,A847, Parana,"339,6",1012,"2,7",
fevereiro 2016,26.2,A847, Parana,"653,4","1012,3","2,6",
marco 2016,24.8,A847, Parana,"244,2","1014,4","2,2",
abril 2016,26.2,A847, Parana,,,,
maio 2016,,A847, Parana,,,,
junho 2016,14.4,A847, Parana,,,,
julho 2016,,A847, Parana,,,,
agosto 2016,,A847, Parana,,,,
setembro 2016,18.7,A847, Parana,,,,
outubro 2016,20.0,A847, Parana,,,,
novembro 2016,,A847, Parana,,,,
dezembro 2016,25.2,A847, Parana,,,,
janeiro 2017,25.9,A847, Parana,"525,8","1011,8","2,8",
fevereiro 2017,26.4,A847, Parana,"72,6","1012,2","2,6",
marco 2017,24.2,A847, Parana,"458,2","1014,4","2,3",
abril 2017,,A847, Parana,,,,
maio 2017,20.9,A847, Parana,,"1016,6","2,6",
junho 2017,18.8,A847, Parana,"150,4","1019,2","2,1",
julho 2017,17.9,A847, Parana,"25,6","1024,8",2,
agosto 2017,18.9,A847, Parana,,"1019,2","2,2",
setembro 2017,21.2,A847, Parana,,"1019,2","2,6",
outubro 2017,21.8,A847, Parana,"80,6","1013,9","2,7",
novembro 2017,22.1,A847, Parana,"86,4","1012,8",3,
dezembro 2017,24.1,A847, Parana,"259,8","1011,6",3,
janeiro 2018,25.2,A847, Parana,"429,6","1011,8","2,8",
fevereiro 2018,,A847, Parana,,,,
janeiro 2014,26.0,A846,Parana,,"984,1","2,7",
fevereiro 2014,26.1,A846,Parana,,,,
marco 2014,23.3,A846,Parana,"242,4","984,8","2,4",
abril 2014,21.0,A846,Parana,,"986,8","2,2",
maio 2014,18.5,A846,Parana,,"987,8","2,5",
junho 2014,17.5,A846,Parana,,"988,2","2,6",
julho 2014,16.9,A846,Parana,"192,4","991,2","3,4",
agosto 2014,19.5,A846,Parana,"8,6","989,3","3,3",
setembro 2014,21.5,A846,Parana,"278,4","985,3","3,7",
outubro 2014,25.1,A846,Parana,83,"985,1","3,2",
novembro 2014,23.6,A846,Parana,"170,8","983,4","2,3",
dezembro 2014,24.7,A846,Parana,"131,8","983,1","2,5",
janeiro 2015,,A846,Parana,,,,
fevereiro 2015,,A846,Parana,,,,
marco 2015,,A846,Parana,,,,
abril 2015,,A846,Parana,,,,
maio 2015,18.3,A846,Parana,,"989,3","1,7",
junho 2015,18.3,A846,Parana,"160,2","990,3","2,8",
julho 2015,16.5,A846,Parana,"251,2",989,"2,2",
agosto 2015,21.6,A846,Parana,"50,2","987,1","3,6",
setembro 2015,21.6,A846,Parana,"92,4","984,4","2,7",
outubro 2015,23.3,A846,Parana,"131,6","984,4","2,3",
novembro 2015,22.9,A846,Parana,271,"982,5","2,1",
dezembro 2015,24.4,A846,Parana,314,983,"2,1",
janeiro 2016,26.1,A846,Parana,"88,6","982,1","1,4",
fevereiro 2016,26.1,A846,Parana,"67,2","983,8","1,4",
marco 2016,22.8,A846,Parana,"32,2","986,6",1,
abril 2016,23.5,A846,Parana,19,"985,9","1,3",
maio 2016,17.0,A846,Parana,,,,
junho 2016,13.6,A846,Parana,,"992,7","0,8",
julho 2016,16.6,A846,Parana,,"989,5","1,2",
agosto 2016,18.1,A846,Parana,,"988,2","0,9",
setembro 2016,18.5,A846,Parana,,"989,3","0,7",
outubro 2016,21.5,A846,Parana,,985,"1,2",
novembro 2016,22.7,A846,Parana,118,"984,4","0,5",
dezembro 2016,24.4,A846,Parana,"208,4",983,"0,5",
janeiro 2017,25.9,A846,Parana,"53,6","983,6","0,3",
fevereiro 2017,25.4,A846,Parana,"226,8","983,5","0,3",
marco 2017,24.3,A846,Parana,"120,6","985,2","0,3",
abril 2017,,A846,Parana,,,,
maio 2017,,A846,Parana,,,,
junho 2017,,A846,Parana,,,,
julho 2017,,A846,Parana,,,,
agosto 2017,20.2,A846,Parana,"171,4","987,3","3,7",
setembro 2017,23.4,A846,Parana,"20,8","987,4","3,5",
outubro 2017,21.6,A846,Parana,"465,2","984,1","3,5",
novembro 2017,22.1,A846,Parana,"285,8",983,"2,7",
dezembro 2017,25.5,A846,Parana,"186,6",982,"2,5",
janeiro 2018,24.6,A846,Parana,"281,6","983,3","2,5",
fevereiro 2018,24.4,A846,Parana,"215,8","983,7","2,6",
marco 2018,24.1,A846,Parana,"281,4","983,5","2,1",
abril 2018,23.4,A846,Parana,"49,4","987,9","2,5",
maio 2018,20.2,A846,Parana,71,"989,1","3,1",
junho 2018,16.9,A846,Parana,,"989,4","3,1",
julho 2018,18.9,A846,Parana,,"989,8","2,9",
agosto 2018,18.3,A846,Parana,,990,3,
setembro 2018,20.2,A846,Parana,"194,6","985,6",3,
outubro 2018,21.4,A846,Parana,"438,6","984,3","3,1",
novembro 2018,24.5,A846,Parana,131,"983,5","3,1",
dezembro 2018,25.5,A846,Parana,"82,2",984,"2,9",
janeiro 2019,26.9,A846,Parana,"118,2","984,6","3,1",
fevereiro 2019,24.9,A846,Parana,"246,4","983,6","2,6",
marco 2019,23.5,A846,Parana,336,"986,1","2,3",
abril 2019,22.1,A846,Parana,,986,"2,1",
maio 2019,21.4,A846,Parana,,"987,1","2,5",
junho 2019,20.5,A846,Parana,,"989,6","3,2",
julho 2019,,A846,Parana,,,,
agosto 2019,,A846,Parana,,,,
setembro 2019,,A846,Parana,,,,
outubro 2019,26.9,A846,Parana,,"984,2","3,1",
novembro 2019,25.9,A846,Parana,,"982,4","2,8",
dezembro 2019,,A846,Parana,,"983,3","2,6",
janeiro 2020,25.8,A846,Parana,,"982,4","2,2",
fevereiro 2020,26.0,A846,Parana,,"983,9","2,6",
marco 2020,,A846,Parana,,"985,7",,
abril 2020,,A846,Parana,,,,
maio 2020,,A846,Parana,,,,
junho 2020,,A846,Parana,,,,
julho 2020,,A846,Parana,,,,
agosto 2020,,A846,Parana,,,,
setembro 2020,,A846,Parana,,,,
outubro 2020,,A846,Parana,,,,
novembro 2020,,A846,Parana,,,,
dezembro 2020,,A846,Parana,,,,
janeiro 2021,,A846,Parana,,,,
fevereiro 2021,,A846,Parana,,,,
marco 2021,,A846,Parana,,,,
abril 2021,,A846,Parana,,,,
maio 2021,,A846,Parana,,,,
junho 2021,,A846,Parana,,,,
julho 2021,,A846,Parana,,,,
agosto 2021,,A846,Parana,,,,
setembro 2021,,A846,Parana,,,,
outubro 2021,,A846,Parana,,,,
novembro 2021,24.5,A846,Parana,62,983,"2,1",
dezembro 2021,27.3,A846,Parana,15,"981,4","2,2",
janeiro 2022,27.4,A846,Parana,"94,8","981,8","2,7",
fevereiro 2022,26.5,A846,Parana,"54,4",983,"2,6",
marco 2022,23.8,A846,Parana,162,"984,6","2,5",
abril 2022,21.0,A846,Parana,"194,6","986,1","2,4",
maio 2022,16.3,A846,Parana,,"989,6","1,8",
junho 2022,16.0,A846,Parana,"22,2",989,"2,1",
julho 2022,,A846,Parana,,,,
agosto 2022,17.6,A846,Parana,,,,
setembro 2022,17.6,A846,Parana,,"987,9","2,7",
outubro 2022,20.6,A846,Parana,"375,2","985,3","2,5",
novembro 2022,22.0,A846,Parana,"73,6","985,8","2,7",
dezembro 2022,25.7,A846,Parana,"53,6","981,9","1,9",
janeiro 2023,25.3,A846,Parana,"218,2","983,1","1,8",
fevereiro 2023,23.9,A846,Parana,"238,4","984,1",2,
marco 2023,24.8,A846,Parana,"129,8","985,1","2,1",
abril 2023,20.9,A846,Parana,"174,2","986,2","1,9",
maio 2023,18.8,A846,Parana,161,"989,1",2,
junho 2023,17.9,A846,Parana,,"990,1","2,5",
julho 2023,18.3,A846,Parana,"123,2","989,8","2,4",
agosto 2023,19.9,A846,Parana,"49,6","986,9","2,6",
setembro 2023,22.9,A846,Parana,"283,8","984,4","3,3",
outubro 2023,22.6,A846,Parana,"422,4","982,7","3,1",
novembro 2023,24.2,A846,Parana,"201,2","981,9","3,1",
dezembro 2023,25.7,A846,Parana,"108,6","983,1","2,2",
janeiro 2024,26.3,A846,Parana,"69,2",983,"2,3",
fevereiro 2024,27.1,A846,Parana,16,"984,2","2,3",
marco 2024,26.4,A846,Parana,,"984,6","2,3",
abril 2024,24.0,A846,Parana,,"984,9","2,6",
maio 2024,18.9,A846,Parana,,"987,6","2,4",
junho 2024,20.1,A846,Parana,,"987,5","2,8",
julho 2024,16.5,A846,Parana,,"991,6","2,5",
agosto 2024,18.7,A846,Parana,,"989,5","3,4",
setembro 2024,22.7,A846,Parana,,"985,3","3,1",
outubro 2024,24.2,A846,Parana,,"984,2","2,9",
novembro 2024,25.3,A846,Parana,,"982,7","2,6",
dezembro 2024,24.6,A846,Parana,,"982,7","2,1",
janeiro 2014,16.1,A845,Santa Catarina,,"822,4","6,5",
fevereiro 2014,15.8,A845,Santa Catarina,,"822,7","6,8",
marco 2014,13.0,A845,Santa Catarina,,"821,8","7,1",
abril 2014,11.1,A845,Santa Catarina,,"822,9","6,4",
maio 2014,10.5,A845,Santa Catarina,,,,
junho 2014,,A845,Santa Catarina,,,,
julho 2014,7.9,A845,Santa Catarina,,"825,1","8,2",
agosto 2014,,A845,Santa Catarina,,,,
setembro 2014,,A845,Santa Catarina,,,,
outubro 2014,,A845,Santa Catarina,"211,8","822,9",,
novembro 2014,,A845,Santa Catarina,,"820,7",,
dezembro 2014,13.6,A845,Santa Catarina,"428,2","820,6",,
janeiro 2015,15.6,A845,Santa Catarina,"379,2","822,4","7,1",
fevereiro 2015,14.5,A845,Santa Catarina,,"821,4","6,5",
marco 2015,13.2,A845,Santa Catarina,,"821,9","6,1",
abril 2015,10.9,A845,Santa Catarina,,"822,4","6,4",
maio 2015,9.0,A845,Santa Catarina,,"822,6","7,6",
junho 2015,8.5,A845,Santa Catarina,,"823,4","9,3",
julho 2015,8.2,A845,Santa Catarina,,"821,6","9,1",
agosto 2015,12.0,A845,Santa Catarina,,"823,2","9,4",
setembro 2015,10.4,A845,Santa Catarina,,"819,7","8,6",
outubro 2015,11.8,A845,Santa Catarina,,"821,2","7,9",
novembro 2015,12.2,A845,Santa Catarina,,"819,5","7,1",
dezembro 2015,14.9,A845,Santa Catarina,,"820,5","7,9",
janeiro 2016,14.9,A845,Santa Catarina,,"821,2","6,5",
fevereiro 2016,14.5,A845,Santa Catarina,"162,8","821,8",6,
marco 2016,12.5,A845,Santa Catarina,368,"822,4","6,5",
abril 2016,13.8,A845,Santa Catarina,"230,2","822,3","6,9",
maio 2016,7.7,A845,Santa Catarina,"170,6","822,1","6,8",
junho 2016,6.0,A845,Santa Catarina,74,"822,8","6,6",
julho 2016,8.1,A845,Santa Catarina,"137,4","821,6","8,9",
agosto 2016,9.4,A845,Santa Catarina,"155,2","821,6",8,
setembro 2016,8.9,A845,Santa Catarina,109,"821,6","6,1",
outubro 2016,10.1,A845,Santa Catarina,"322,8","820,4","7,5",
novembro 2016,11.4,A845,Santa Catarina,"111,8","820,2","6,7",
dezembro 2016,12.4,A845,Santa Catarina,"415,2",820,"7,4",
janeiro 2017,14.9,A845,Santa Catarina,"344,2","821,4",6,
fevereiro 2017,15.8,A845,Santa Catarina,"206,4","821,8","6,8",
marco 2017,13.0,A845,Santa Catarina,"265,6","822,4","6,5",
abril 2017,10.7,A845,Santa Catarina,"218,6","822,3","7,4",
maio 2017,10.2,A845,Santa Catarina,"301,8","822,3",,
junho 2017,8.7,A845,Santa Catarina,"201,6","822,4","9,1",
julho 2017,8.5,A845,Santa Catarina,"30,6","826,6","9,1",
agosto 2017,9.2,A845,Santa Catarina,174,"822,3","9,1",
setembro 2017,13.9,A845,Santa Catarina,"83,2","824,6",7,
outubro 2017,11.1,A845,Santa Catarina,"200,4","819,8","8,8",
novembro 2017,10.9,A845,Santa Catarina,"164,2",819,"7,3",
dezembro 2017,13.7,A845,Santa Catarina,"345,4","819,8",6,
janeiro 2018,13.9,A845,Santa Catarina,429,"820,5","6,8",
fevereiro 2018,12.8,A845,Santa Catarina,"156,6","820,9","5,7",
marco 2018,,A845,Santa Catarina,,,,
abril 2018,,A845,Santa Catarina,,,,
maio 2018,,A845,Santa Catarina,,,,
junho 2018,,A845,Santa Catarina,,,,
julho 2018,,A845,Santa Catarina,,,,
agosto 2018,,A845,Santa Catarina,,,,
setembro 2018,,A845,Santa Catarina,,,,
outubro 2018,,A845,Santa Catarina,,,,
novembro 2018,,A845,Santa Catarina,,,,
dezembro 2018,14.2,A845,Santa Catarina,"301,2","821,1","6,6",
janeiro 2019,16.5,A845,Santa Catarina,"256,4",823,"6,6",
fevereiro 2019,13.7,A845,Santa Catarina,"344,4","821,2","6,5",
marco 2019,13.1,A845,Santa Catarina,"367,2","822,7","6,6",
abril 2019,12.7,A845,Santa Catarina,"204,2","821,8","5,8",
maio 2019,10.7,A845,Santa Catarina,"344,6","821,7","7,5",
junho 2019,10.5,A845,Santa Catarina,"44,2",824,"7,8",
julho 2019,8.4,A845,Santa Catarina,"148,2","822,6","8,8",
agosto 2019,7.7,A845,Santa Catarina,"48,8","824,2",,
setembro 2019,10.1,A845,Santa Catarina,"106,8","822,2","8,2",
outubro 2019,12.6,A845,Santa Catarina,"251,4","821,9","7,4",
novembro 2019,12.3,A845,Santa Catarina,"251,6","820,3","7,1",
dezembro 2019,14.0,A845,Santa Catarina,"132,4","820,4","6,5",
janeiro 2020,14.4,A845,Santa Catarina,"525,4","820,2","6,3",
fevereiro 2020,13.2,A845,Santa Catarina,244,"821,8","6,1",
marco 2020,13.4,A845,Santa Catarina,155,"823,1",5,
abril 2020,10.2,A845,Santa Catarina,"73,4","822,4","6,8",
maio 2020,9.6,A845,Santa Catarina,"37,8","821,4","8,6",
junho 2020,9.5,A845,Santa Catarina,"222,4","821,5","9,4",
julho 2020,7.7,A845,Santa Catarina,"198,8","821,2","9,7",
agosto 2020,10.1,A845,Santa Catarina,158,"823,3","8,1",
setembro 2020,11.2,A845,Santa Catarina,"174,6","822,4","8,6",
outubro 2020,11.8,A845,Santa Catarina,"211,6","820,9","7,5",
novembro 2020,10.9,A845,Santa Catarina,"259,4","821,1",,
dezembro 2020,13.4,A845,Santa Catarina,"254,8","820,3",,
janeiro 2021,14.1,A845,Santa Catarina,"461,6","820,7",,
fevereiro 2021,13.5,A845,Santa Catarina,"233,8","820,3",,
marco 2021,13.6,A845,Santa Catarina,"230,6","820,9",,
abril 2021,10.2,A845,Santa Catarina,"202,2","823,1","5,7",
maio 2021,8.9,A845,Santa Catarina,"163,8","821,3",,
junho 2021,7.0,A845,Santa Catarina,294,"821,9",,
julho 2021,7.0,A845,Santa Catarina,"51,8","823,1",,
agosto 2021,9.3,A845,Santa Catarina,"58,8",824,"7,7",
setembro 2021,11.0,A845,Santa Catarina,"228,8","821,6",,
outubro 2021,9.8,A845,Santa Catarina,280,"820,8",,
novembro 2021,12.0,A845,Santa Catarina,"209,6","819,6",,
dezembro 2021,12.4,A845,Santa Catarina,"257,6","819,9",,
janeiro 2022,15.4,A845,Santa Catarina,,"820,9",,
fevereiro 2022,14.7,A845,Santa Catarina,,821,,
marco 2022,13.4,A845,Santa Catarina,,"821,2",,
abril 2022,10.9,A845,Santa Catarina,,"821,6",,
maio 2022,7.8,A845,Santa Catarina,,"820,5",,
junho 2022,7.7,A845,Santa Catarina,,"820,9","7,9",
julho 2022,10.5,A845,Santa Catarina,,822,"9,9",
agosto 2022,7.3,A845,Santa Catarina,,"822,3","7,9",
setembro 2022,7.2,A845,Santa Catarina,,"821,2",,
outubro 2022,10.3,A845,Santa Catarina,,820,"7,4",
novembro 2022,9.7,A845,Santa Catarina,,821,"7,3",
dezembro 2022,13.3,A845,Santa Catarina,299,"819,6",,
janeiro 2023,14.3,A845,Santa Catarina,"428,4","820,9",,
fevereiro 2023,14.0,A845,Santa Catarina,"303,2","820,7",,
marco 2023,14.5,A845,Santa Catarina,"295,4","822,6",,
abril 2023,10.6,A845,Santa Catarina,"141,4","821,3",,
maio 2023,11.1,A845,Santa Catarina,"139,4","823,3","6,8",
junho 2023,10.0,A845,Santa Catarina,200,"823,2","7,7",
julho 2023,8.4,A845,Santa Catarina,"204,2","822,8","7,6",
agosto 2023,10.0,A845,Santa Catarina,"137,6","821,5",9,
setembro 2023,12.0,A845,Santa Catarina,"293,8","820,9","9,6",
outubro 2023,11.2,A845,Santa Catarina,"539,6","819,6",7,
novembro 2023,13.4,A845,Santa Catarina,"456,8","819,7","7,8",
dezembro 2023,15.1,A845,Santa Catarina,"254,4","821,2","5,8",
janeiro 2024,14.0,A845,Santa Catarina,577,"821,2","6,2",
fevereiro 2024,15.4,A845,Santa Catarina,"238,4","822,9",,
marco 2024,15.0,A845,Santa Catarina,"228,8","822,5",,
abril 2024,13.9,A845,Santa Catarina,"276,8","822,3",,
maio 2024,10.8,A845,Santa Catarina,"331,6",821,,
junho 2024,10.4,A845,Santa Catarina,200,"822,2","9,8",
julho 2024,8.7,A845,Santa Catarina,"379,8","824,6","7,4",
agosto 2024,10.4,A845,Santa Catarina,"80,6",823,9,
setembro 2024,13.2,A845,Santa Catarina,"178,2","822,2",,
outubro 2024,11.6,A845,Santa Catarina,"243,2","821,4",,
novembro 2024,12.5,A845,Santa Catarina,"344,4","820,7",,
dezembro 2024,12.4,A845,Santa Catarina,,,,
janeiro 2014,22.2,A844,Rio Grande do Sul,"178,6","919,9","2,8",
fevereiro 2014,22.1,A844,Rio Grande do Sul,"214,8","920,2","3,3",
marco 2014,19.1,A844,Rio Grande do Sul,"247,8","920,2",3,
abril 2014,17.5,A844,Rio Grande do Sul,139,"922,2","3,4",
maio 2014,13.9,A844,Rio Grande do Sul,228,"922,2","2,9",
junho 2014,12.9,A844,Rio Grande do Sul,"348,6","922,1","3,4",
julho 2014,12.8,A844,Rio Grande do Sul,"65,8","925,2","3,3",
agosto 2014,14.3,A844,Rio Grande do Sul,"139,8","923,6","3,1",
setembro 2014,16.2,A844,Rio Grande do Sul,"274,2","920,7","3,6",
outubro 2014,18.7,A844,Rio Grande do Sul,"135,2","921,5","3,7",
novembro 2014,19.9,A844,Rio Grande do Sul,"101,8","919,2","3,6",
dezembro 2014,20.6,A844,Rio Grande do Sul,"186,2","918,7","3,4",
janeiro 2015,21.2,A844,Rio Grande do Sul,"201,8","920,5",3,
fevereiro 2015,20.8,A844,Rio Grande do Sul,"191,2","919,5","2,9",
marco 2015,20.0,A844,Rio Grande do Sul,"28,6","920,6","3,1",
abril 2015,17.6,A844,Rio Grande do Sul,,922,"3,1",
maio 2015,15.4,A844,Rio Grande do Sul,,"923,5","3,2",
junho 2015,,A844,Rio Grande do Sul,,,,
julho 2015,,A844,Rio Grande do Sul,,,,
agosto 2015,17.3,A844,Rio Grande do Sul,"41,4","922,5","3,4",
setembro 2015,13.6,A844,Rio Grande do Sul,,,,
outubro 2015,,A844,Rio Grande do Sul,,,,
novembro 2015,,A844,Rio Grande do Sul,,,,
dezembro 2015,20.9,A844,Rio Grande do Sul,"254,2","918,5","3,1",
janeiro 2016,22.3,A844,Rio Grande do Sul,,"918,6","3,3",
fevereiro 2016,21.9,A844,Rio Grande do Sul,,"919,6","2,7",
marco 2016,19.0,A844,Rio Grande do Sul,"202,8","921,2",3,
abril 2016,19.7,A844,Rio Grande do Sul,"175,6",921,"2,8",
maio 2016,12.8,A844,Rio Grande do Sul,90,"923,4","2,8",
junho 2016,9.4,A844,Rio Grande do Sul,"27,8","925,4","2,6",
julho 2016,12.2,A844,Rio Grande do Sul,"218,2",923,"3,1",
agosto 2016,13.7,A844,Rio Grande do Sul,"140,6","922,3","3,2",
setembro 2016,13.9,A844,Rio Grande do Sul,"72,4","922,9","3,2",
outubro 2016,16.5,A844,Rio Grande do Sul,"336,6",920,"3,8",
novembro 2016,18.7,A844,Rio Grande do Sul,"114,4","919,5","3,4",
dezembro 2016,20.8,A844,Rio Grande do Sul,"109,8","918,4",3,
janeiro 2017,21.5,A844,Rio Grande do Sul,"221,2","919,3",3,
fevereiro 2017,22.1,A844,Rio Grande do Sul,,"919,4","2,8",
marco 2017,19.8,A844,Rio Grande do Sul,"117,8",921,3,
abril 2017,16.8,A844,Rio Grande do Sul,187,922,"3,2",
maio 2017,15.3,A844,Rio Grande do Sul,383,"921,9","3,3",
junho 2017,13.2,A844,Rio Grande do Sul,"178,6","923,4","2,9",
julho 2017,13.4,A844,Rio Grande do Sul,"11,8","927,9","3,1",
agosto 2017,14.6,A844,Rio Grande do Sul,"167,4","922,4","3,6",
setembro 2017,18.8,A844,Rio Grande do Sul,,"923,3","3,1",
outubro 2017,17.0,A844,Rio Grande do Sul,"168,2","919,1","3,5",
novembro 2017,18.2,A844,Rio Grande do Sul,"144,4","918,1","3,4",
dezembro 2017,21.5,A844,Rio Grande do Sul,150,"917,7","3,2",
janeiro 2018,20.7,A844,Rio Grande do Sul,"177,6","918,6",3,
fevereiro 2018,20.0,A844,Rio Grande do Sul,"89,4","919,5","2,9",
marco 2018,20.3,A844,Rio Grande do Sul,"128,6","918,8","2,6",
abril 2018,19.5,A844,Rio Grande do Sul,67,"923,2","2,6",
maio 2018,15.1,A844,Rio Grande do Sul,"107,4","923,5","2,8",
junho 2018,11.7,A844,Rio Grande do Sul,"155,8","923,5","2,6",
julho 2018,13.3,A844,Rio Grande do Sul,"119,4","923,5",3,
agosto 2018,11.6,A844,Rio Grande do Sul,"116,4","923,9","3,1",
setembro 2018,16.3,A844,Rio Grande do Sul,"208,6","920,5","3,2",
outubro 2018,16.8,A844,Rio Grande do Sul,240,"919,9","3,7",
novembro 2018,19.7,A844,Rio Grande do Sul,"245,6","919,4","3,5",
dezembro 2018,20.9,A844,Rio Grande do Sul,"162,6","919,4",3,
janeiro 2019,23.0,A844,Rio Grande do Sul,133,"920,5","2,9",
fevereiro 2019,20.5,A844,Rio Grande do Sul,"171,8","919,5",3,
marco 2019,19.2,A844,Rio Grande do Sul,"152,4","921,5","3,1",
abril 2019,18.7,A844,Rio Grande do Sul,"136,4","920,8","2,6",
maio 2019,16.1,A844,Rio Grande do Sul,"220,2","921,4","2,9",
junho 2019,15.2,A844,Rio Grande do Sul,32,"924,2","2,7",
julho 2019,12.1,A844,Rio Grande do Sul,112,"923,9","2,9",
agosto 2019,13.0,A844,Rio Grande do Sul,"42,4","925,7","3,4",
setembro 2019,15.9,A844,Rio Grande do Sul,"75,8","921,8","3,6",
outubro 2019,18.6,A844,Rio Grande do Sul,312,"920,5","3,6",
novembro 2019,19.9,A844,Rio Grande do Sul,"118,8","918,9","3,7",
dezembro 2019,21.3,A844,Rio Grande do Sul,92,"918,7","3,2",
janeiro 2020,21.3,A844,Rio Grande do Sul,"184,8","918,3","3,1",
fevereiro 2020,20.7,A844,Rio Grande do Sul,"109,2","920,3","3,2",
marco 2020,21.1,A844,Rio Grande do Sul,"18,2","921,5","2,9",
abril 2020,16.7,A844,Rio Grande do Sul,44,"922,7","3,1",
maio 2020,13.9,A844,Rio Grande do Sul,"162,8","922,5","2,8",
junho 2020,13.9,A844,Rio Grande do Sul,"227,2","921,9","3,3",
julho 2020,12.1,A844,Rio Grande do Sul,"351,2","922,4",3,
agosto 2020,14.5,A844,Rio Grande do Sul,"91,2","923,6","3,2",
setembro 2020,16.9,A844,Rio Grande do Sul,116,"921,5","3,4",
outubro 2020,18.7,A844,Rio Grande do Sul,"40,4","919,8","3,6",
novembro 2020,18.9,A844,Rio Grande do Sul,"94,8","920,2","3,4",
dezembro 2020,20.9,A844,Rio Grande do Sul,"105,6","918,4","3,2",
janeiro 2021,20.9,A844,Rio Grande do Sul,,"918,6","3,1",
fevereiro 2021,20.2,A844,Rio Grande do Sul,"69,8","918,9","2,9",
marco 2021,20.2,A844,Rio Grande do Sul,239,"919,5","2,9",
abril 2021,17.2,A844,Rio Grande do Sul,"13,2","922,9","3,1",
maio 2021,13.2,A844,Rio Grande do Sul,"16,4","922,4","2,8",
junho 2021,11.7,A844,Rio Grande do Sul,"18,4","923,6","3,1",
julho 2021,11.4,A844,Rio Grande do Sul,"4,2","925,2","2,9",
agosto 2021,15.2,A844,Rio Grande do Sul,"22,8",924,"3,4",
setembro 2021,16.6,A844,Rio Grande do Sul,"205,2","921,1","3,4",
outubro 2021,16.8,A844,Rio Grande do Sul,"134,2","920,4","3,6",
novembro 2021,19.8,A844,Rio Grande do Sul,"91,2","918,4","3,4",
dezembro 2021,21.4,A844,Rio Grande do Sul,"25,8",918,"3,5",
janeiro 2022,23.0,A844,Rio Grande do Sul,,"918,7","3,1",
fevereiro 2022,21.8,A844,Rio Grande do Sul,"61,8","918,9","2,9",
marco 2022,,A844,Rio Grande do Sul,,,,
abril 2022,,A844,Rio Grande do Sul,,,,
maio 2022,,A844,Rio Grande do Sul,,,,
junho 2022,11.2,A844,Rio Grande do Sul,"297,2","922,4",3,
julho 2022,15.4,A844,Rio Grande do Sul,"67,8","922,1","3,2",
agosto 2022,12.7,A844,Rio Grande do Sul,"132,2","923,6","3,5",
setembro 2022,13.1,A844,Rio Grande do Sul,"59,2","922,2","3,8",
outubro 2022,16.2,A844,Rio Grande do Sul,"167,6","919,9","3,4",
novembro 2022,17.5,A844,Rio Grande do Sul,"39,6","921,2","3,9",
dezembro 2022,21.1,A844,Rio Grande do Sul,"107,2","917,7","3,3",
janeiro 2023,22.2,A844,Rio Grande do Sul,50,"918,7","2,9",
fevereiro 2023,20.7,A844,Rio Grande do Sul,62,"919,1","2,7",
marco 2023,21.2,A844,Rio Grande do Sul,"49,8","920,7",3,
abril 2023,17.0,A844,Rio Grande do Sul,"75,2",921,3,
maio 2023,15.5,A844,Rio Grande do Sul,96,"923,5","2,7",
junho 2023,13.2,A844,Rio Grande do Sul,126,"924,2","2,9",
julho 2023,13.3,A844,Rio Grande do Sul,"166,4","923,8","3,1",
agosto 2023,14.7,A844,Rio Grande do Sul,"64,2","921,7","3,2",
setembro 2023,17.1,A844,Rio Grande do Sul,"321,6","919,8","3,6",
outubro 2023,16.8,A844,Rio Grande do Sul,"399,4","918,7","3,6",
novembro 2023,19.4,A844,Rio Grande do Sul,"386,2","917,9","3,6",
dezembro 2023,21.7,A844,Rio Grande do Sul,"87,2","919,1","3,2",
janeiro 2024,21.0,A844,Rio Grande do Sul,159,"919,4","3,4",
fevereiro 2024,22.5,A844,Rio Grande do Sul,"128,2","920,5","2,9",
marco 2024,21.1,A844,Rio Grande do Sul,"92,6","920,7","2,9",
abril 2024,19.7,A844,Rio Grande do Sul,"168,8","920,7","3,1",
maio 2024,14.8,A844,Rio Grande do Sul,"349,8","921,2","3,1",
junho 2024,15.0,A844,Rio Grande do Sul,"207,8","922,3","3,1",
julho 2024,12.3,A844,Rio Grande do Sul,133,"925,8",3,
agosto 2024,14.5,A844,Rio Grande do Sul,87,"923,6","3,1",
setembro 2024,18.0,A844,Rio Grande do Sul,"120,6","920,9","3,4",
outubro 2024,18.3,A844,Rio Grande do Sul,"197,8","920,4","3,6",
novembro 2024,20.7,A844,Rio Grande do Sul,"43,4","918,9","3,6",
dezembro 2024,19.7,A844,Rio Grande do Sul,,"917,7","3,4",
janeiro 2014,22.9,A843,Parana,,"950,5","1,8",
