Data Medicao,TemperaturaMedia C?,CodEstacao,Nome,"PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)",n
marco 2020,20.4,B804,Parana,"76,2","921,8","1,6",
abril 2020,16.7,B804,Parana,"44,6","923,3","1,5",
maio 2020,13.6,B804,Parana,"180,6","923,7","1,7",
junho 2020,16.4,B804,Parana,135,"923,1",2,
julho 2020,14.6,B804,Parana,"70,6","923,6","1,9",
agosto 2020,15.6,B804,Parana,"175,8","924,2",,
setembro 2020,20.6,B804,Parana,"75,6","921,8","1,8",
outubro 2020,,B804,Parana,,"920,8",,
novembro 2020,,B804,Parana,,,,
dezembro 2020,,B804,Parana,,,,
janeiro 2021,,B804,Parana,,,,
fevereiro 2021,,B804,Parana,,,,
marco 2021,,B804,Parana,,,,
abril 2021,,B804,Parana,,,,
maio 2021,,B804,Parana,,,,
junho 2021,,B804,Parana,,,,
julho 2021,,B804,Parana,,,,
agosto 2021,,B804,Parana,,,,
setembro 2021,,B804,Parana,,,,
outubro 2021,,B804,Parana,,,,
novembro 2021,,B804,Parana,,,,
dezembro 2021,,B804,Parana,,,,
janeiro 2022,,B804,Parana,,,,
fevereiro 2022,,B804,Parana,,,,
marco 2022,,B804,Parana,,,,
abril 2022,,B804,Parana,,,,
maio 2022,,B804,Parana,,,,
junho 2022,,B804,Parana,,,,
julho 2022,,B804,Parana,,,,
agosto 2022,,B804,Parana,,,,
setembro 2022,15.3,B804,Parana,"229,2","922,6",,
outubro 2022,18.0,B804,Parana,"566,6","920,4",,
novembro 2022,18.6,B804,Parana,"185,8","920,7",,
dezembro 2022,21.6,B804,Parana,"173,8","918,2",,
janeiro 2023,21.3,B804,Parana,"261,6","919,5",,
fevereiro 2023,20.5,B804,Parana,"234,2","920,1",,
marco 2023,21.6,B804,Parana,"116,8","921,4",,
abril 2023,18.0,B804,Parana,"132,6","921,4",,
maio 2023,16.0,B804,Parana,72,924,,
junho 2023,14.9,B804,Parana,,925,,
julho 2023,16.3,B804,Parana,130,"924,8",,
agosto 2023,16.8,B804,Parana,"123,2","922,6",,
setembro 2023,20.5,B804,Parana,"200,8","918,5",,
outubro 2023,20.3,B804,Parana,"512,6",912,"3,3",
novembro 2023,21.8,B804,Parana,"260,2","911,9","3,5",
dezembro 2023,23.0,B804,Parana,"261,4",913,"2,4",
janeiro 2024,22.4,B804,Parana,"217,2","912,9",,
fevereiro 2024,22.9,B804,Parana,"133,6","914,2",,
marco 2024,23.2,B804,Parana,145,"914,3","2,6",
abril 2024,21.5,B804,Parana,"233,8","914,6","2,6",
maio 2024,19.2,B804,Parana,"154,2","915,1","3,4",
junho 2024,19.5,B804,Parana,"37,2","916,4","3,5",
julho 2024,17.6,B804,Parana,,"919,2","2,7",
agosto 2024,19.4,B804,Parana,,"917,1","3,6",
setembro 2024,21.9,B804,Parana,"174,6","914,7","3,4",
outubro 2024,21.1,B804,Parana,"217,6","913,7","3,1",
novembro 2024,21.9,B804,Parana,"191,8","912,3","2,8",
dezembro 2024,21.1,B804,Parana,"342,6","911,5","2,9",
agosto 2016,17.6,B803,Parana,,"947,4","3,1",11668.0
setembro 2016,19.0,B803,Parana,35,"948,1","2,9",11669.0
outubro 2016,21.4,B803,Parana,"213,8","944,9","3,7",11670.0
novembro 2016,22.8,B803,Parana,109,"943,9","3,2",11671.0
dezembro 2016,22.8,B803,Parana,"375,2","943,5","3,1",11672.0
janeiro 2017,23.5,B803,Parana,"181,2","944,3","2,7",11673.0
fevereiro 2017,24.5,B803,Parana,"301,4","944,1","2,9",11674.0
marco 2017,23.4,B803,Parana,"142,4","945,4","3,1",11675.0
abril 2017,20.6,B803,Parana,"169,6","946,6",3,11676.0
maio 2017,21.0,B803,Parana,"161,8","946,9","2,7",11677.0
junho 2017,19.8,B803,Parana,"196,2","949,2",3,11678.0
julho 2017,18.5,B803,Parana,5,953,"3,4",11679.0
agosto 2017,21.8,B803,Parana,"145,2","947,5","3,9",11680.0
setembro 2017,25.9,B803,Parana,"30,8","947,6","3,9",11681.0
outubro 2017,24.9,B803,Parana,"394,4","944,2",,11682.0
novembro 2017,22.3,B803,Parana,"205,6","942,8",,11683.0
dezembro 2017,23.9,B803,Parana,"291,6","942,5",3,11684.0
janeiro 2018,,B803,Parana,,,,11685.0
fevereiro 2018,,B803,Parana,,,,11686.0
marco 2018,,B803,Parana,,,,11687.0
abril 2018,22.3,B803,Parana,,,,11688.0
maio 2018,,B803,Parana,,,,11689.0
junho 2018,,B803,Parana,,,,11690.0
julho 2018,,B803,Parana,,,,11691.0
agosto 2018,,B803,Parana,,,,11692.0
setembro 2018,,B803,Parana,,,,11693.0
outubro 2018,,B803,Parana,,,,11694.0
novembro 2018,22.8,B803,Parana,"156,6","943,9","3,4",11695.0
dezembro 2018,24.7,B803,Parana,93,"944,3","2,9",11696.0
janeiro 2019,25.3,B803,Parana,"323,2","945,6","3,1",11697.0
fevereiro 2019,24.0,B803,Parana,191,"943,8","3,2",11698.0
marco 2019,23.0,B803,Parana,"180,6","945,9","2,6",11699.0
abril 2019,22.0,B803,Parana,91,"945,7","2,1",11700.0
maio 2019,19.6,B803,Parana,"358,2","946,7","2,7",11701.0
junho 2019,,B803,Parana,,,,11702.0
julho 2019,,B803,Parana,,,,11703.0
agosto 2019,19.9,B803,Parana,,,,11704.0
setembro 2019,23.0,B803,Parana,"78,2","946,1","3,7",11705.0
outubro 2019,24.9,B803,Parana,"45,2","944,6","3,6",11706.0
novembro 2019,24.4,B803,Parana,"132,2",943,"3,2",11707.0
dezembro 2019,,B803,Parana,,,,11708.0
janeiro 2020,,B803,Parana,,,,11709.0
fevereiro 2020,,B803,Parana,,,,11710.0
marco 2020,,B803,Parana,,,,11711.0
abril 2020,,B803,Parana,,,,11712.0
maio 2020,,B803,Parana,,,,11713.0
junho 2020,,B803,Parana,,,,11714.0
julho 2020,,B803,Parana,,,,11715.0
agosto 2020,,B803,Parana,,,,11716.0
setembro 2020,,B803,Parana,,,,11717.0
outubro 2020,,B803,Parana,,,,11718.0
novembro 2020,,B803,Parana,,,,11719.0
dezembro 2020,,B803,Parana,,,,11720.0
