Unnamed: 0,Data,Produto,Estado,Área Colhida (ha),Área Plantada (ha),Produção (t),Rendimento Médio (kg/ha)
258,maio 2016,1.15 Soja,Parana,5445370,,17100496,3140
259,maio 2016,1.17 Trigo,Parana,1148251,,3471037,3023
260,maio 2016,15 Fumo,Parana,73715,,148992,2021
261,junho 2016,1.4 Arroz,Parana,26254,,141771,5400
262,junho 2016,1.8 Feijao (1 Safra),Parana,180149,,284549,1580
263,junho 2016,1.9 Feijao (2 Safra),Parana,207425,,312336,1506
264,junho 2016,1.10 Feijao (3 Safra),Parana,5199,,6017,1157
265,junho 2016,1.13 Milho (1 Safra),Parana,423695,,3406860,8041
266,junho 2016,1.14 Milho (2 Safra),Parana,2191631,,11408211,5205
267,junho 2016,1.15 Soja,Parana,5444891,,16969660,3117
268,junho 2016,1.17 Trigo,Parana,1131432,,3400796,3006
269,junho 2016,15 Fumo,Parana,73715,,148992,2021
270,julho 2016,1.4 Arroz,Parana,26254,,141771,5400
271,julho 2016,1.8 Feijao (1 Safra),Parana,180149,,284549,1580
272,julho 2016,1.9 Feijao (2 Safra),Parana,207425,,312336,1506
273,julho 2016,1.10 Feijao (3 Safra),Parana,5199,,6017,1157
274,julho 2016,1.13 Milho (1 Safra),Parana,423695,,3406860,8041
275,julho 2016,1.14 Milho (2 Safra),Parana,2196169,,11232849,5115
276,julho 2016,1.15 Soja,Parana,5444891,,16969660,3117
277,julho 2016,1.17 Trigo,Parana,1095754,,3347529,3055
278,julho 2016,15 Fumo,Parana,73715,,148992,2021
279,agosto 2016,1.4 Arroz,Parana,26254,,141771,5400
280,agosto 2016,1.8 Feijao (1 Safra),Parana,180149,,284549,1580
281,agosto 2016,1.9 Feijao (2 Safra),Parana,207425,,312336,1506
282,agosto 2016,1.10 Feijao (3 Safra),Parana,5199,,6017,1157
283,agosto 2016,1.13 Milho (1 Safra),Parana,423695,,3406860,8041
284,agosto 2016,1.14 Milho (2 Safra),Parana,2198309,,10910484,4963
285,agosto 2016,1.15 Soja,Parana,5444891,,16969660,3117
286,agosto 2016,1.17 Trigo,Parana,1081784,,3301870,3052
287,agosto 2016,15 Fumo,Parana,73715,,148992,2021
