Country,Region,Year,Happiness Rank,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom,Generosity,Perceptions of corruption,Decade,Regional Happiness Ratio,Region_Australia and New Zealand,Region_Central and Eastern Europe,Region_Eastern Asia,Region_Latin America and Caribbean,Region_Middle East and Northern Africa,Region_North America,Region_Southeastern Asia,Region_Southern Asia,Region_Sub-Saharan Africa,Region_Western Europe,Region_nan
Turkey,Western Europe,2019,79,5.373,0.5644083969465649,0.8272506082725062,0.708150744960561,0.26933701657458564,0.09903646339180604,0.1920602996865431,2010,0.9936941839249703,False,False,False,False,False,False,False,False,False,True,False
Malaysia,Western Europe,2019,80,5.339,0.5825381679389313,0.7122871046228711,0.7256792287467134,0.7016574585635359,0.3102347046008382,0.043485350872424854,2010,0.9874061507491935,False,False,False,False,False,False,False,False,False,True,False
Belarus,Western Europe,2019,81,5.323,0.5090648854961831,0.8911192214111923,0.6914986853637161,0.324585635359116,0.11216177781722611,0.25728832599518037,2010,0.9844470763135338,False,False,False,False,False,False,False,False,False,True,False
Greece,Western Europe,2019,82,5.287,0.5634541984732824,0.7031630170316302,0.8755477651183172,0.09254143646408841,0.0,0.06160424706926854,2010,0.9777891588332994,False,False,False,False,False,False,False,False,False,True,False
Mongolia,Western Europe,2019,83,5.285,0.4522900763358778,0.9312652068126521,0.5845749342681859,0.43784530386740333,0.28040444454306523,0.06885180554800602,2010,0.9774192745288419,False,False,False,False,False,False,False,False,False,True,False
North Macedonia,Western Europe,2019,84,5.274,0.4689885496183206,0.7871046228710463,0.7344434706397897,0.47651933701657456,0.22074392442751947,0.06160424706926854,2010,0.9753849108543259,False,False,False,False,False,False,False,False,False,True,False
Nigeria,Western Europe,2019,85,5.265,0.33206106870229,0.6757907542579076,0.2147239263803681,0.5883977900552486,0.25654023649684693,0.07428747440705913,2010,0.9737204314842672,False,False,False,False,False,False,False,False,False,True,False
Kyrgyzstan,Western Europe,2019,86,5.261,0.26288167938931295,0.8746958637469586,0.6336546888694128,0.7016574585635359,0.3579631206932748,0.04167346125274048,2010,0.9729806628753525,False,False,False,False,False,False,False,False,False,True,False
Turkmenistan,Western Europe,2019,87,5.247,0.5019083969465649,0.9355231143552312,0.5758106923751096,0.5441988950276243,0.2911433381638635,0.05073290935116233,2010,0.9703914727441502,False,False,False,False,False,False,False,False,False,True,False
Algeria,Western Europe,2019,88,5.211,0.47805343511450377,0.7055961070559611,0.6879929886064856,0.11878453038674032,0.08710435936869686,0.20655541664401805,2010,0.9637335552639159,False,False,False,False,False,False,False,False,False,True,False
Morocco,Western Europe,2019,89,5.208,0.3821564885496183,0.475669099756691,0.6853637160385627,0.5773480662983426,0.042955574483192975,0.13770361109601204,2010,0.9631787288072298,False,False,False,False,False,False,False,False,False,True,False
Azerbaijan,Western Europe,2019,90,5.208,0.49761450381679384,0.6976885644768857,0.6739702015775636,0.4848066298342541,0.04176236408088206,0.3297639107825551,2010,0.9631787288072298,False,False,False,False,False,False,False,False,False,True,False
Lebanon,Western Europe,2019,91,5.197,0.47089694656488545,0.7445255474452555,0.7142857142857142,0.2983425414364641,0.19807292678361207,0.04892101973147796,2010,0.9611443651327136,False,False,False,False,False,False,False,False,False,True,False
Indonesia,Western Europe,2019,92,5.192,0.44417938931297707,0.7317518248175183,0.5784399649430324,0.6781767955801105,0.5942187803508362,0.05073290935116233,2010,0.96021965437157,False,False,False,False,False,False,False,False,False,True,False
China,Western Europe,2019,93,5.191,0.4909351145038167,0.6843065693430658,0.782646801051709,0.7196132596685083,0.06920620333403313,0.1811889619684369,2010,0.9600347122193412,False,False,False,False,False,False,False,False,False,True,False
Vietnam,Western Europe,2019,94,5.175,0.353530534351145,0.818734793187348,0.7458369851007888,0.7500000000000001,0.17540192913970465,0.13226794223695892,2010,0.9570756377836815,False,False,False,False,False,False,False,False,False,True,False
Bhutan,Western Europe,2019,95,5.082,0.3878816793893129,0.8035279805352799,0.5293602103418055,0.6312154696132597,0.44148784885503894,0.3025855664872896,2010,0.9398760176264096,False,False,False,False,False,False,False,False,False,True,False
Cameroon,Western Europe,2019,96,5.044,0.2619274809160305,0.5535279805352799,0.29009640666082387,0.526243093922652,0.2231303452321413,0.06703991592832165,2010,0.9328482158417177,False,False,False,False,False,False,False,False,False,True,False
Bulgaria,Western Europe,2019,97,5.011,0.5209923664122137,0.920316301703163,0.7142857142857142,0.42955801104972374,0.0966500425871842,0.007247558478737475,2010,0.9267451248181697,False,False,False,False,False,False,False,False,False,True,False
Ghana,Western Europe,2019,98,4.996,0.29150763358778625,0.5279805352798054,0.4259421560035057,0.526243093922652,0.2923365485661744,0.07247558478737476,2010,0.9239709925347388,False,False,False,False,False,False,False,False,False,True,False
Ivory Coast,Western Europe,2019,99,4.944,0.27146946564885494,0.4914841849148419,0.203330411919369,0.4861878453038674,0.18375440195588105,0.1630700657715932,2010,0.9143540006188448,False,False,False,False,False,False,False,False,False,True,False
Nepal,Western Europe,2019,100,4.913,0.2127862595419847,0.745742092457421,0.5933391761612621,0.606353591160221,0.340064964658611,0.16125817615190882,2010,0.9086207938997541,False,False,False,False,False,False,False,False,False,True,False
Jordan,Western Europe,2019,101,4.906,0.3993320610687022,0.7451338199513383,0.7142857142857142,0.5290055248618785,0.13125314425420076,0.23554565055896795,2010,0.9073261988341529,False,False,False,False,False,False,False,False,False,True,False
Benin,Western Europe,2019,102,4.883,0.1875,0.2658150851581509,0.3479404031551271,0.4820441988950276,0.2088118204044103,0.14857494881411826,2010,0.9030725293328922,False,False,False,False,False,False,False,False,False,True,False
Congo (Brazzaville),Western Europe,2019,103,4.812,0.321087786259542,0.48600973236009737,0.44522348816827345,0.5138121546961326,0.12528709224264617,0.1685057346306463,2010,0.8899416365246524,False,False,False,False,False,False,False,False,False,True,False
Gabon,Western Europe,2019,104,4.799,0.5042938931297709,0.7195863746958638,0.5004382120946538,0.4074585635359116,0.051308047299369386,0.09965392908264029,2010,0.8875373885456789,False,False,False,False,False,False,False,False,False,True,False
Laos,Western Europe,2019,105,4.796,0.3645038167938931,0.6265206812652069,0.4829097283085014,0.7555248618784531,0.3173939670147037,0.2971498976282365,2010,0.8869825620889926,False,False,False,False,False,False,False,False,False,True,False
South Africa,Western Europe,2019,106,4.722,0.45801526717557245,0.8217761557177616,0.41104294478527603,0.537292817679558,0.1551173523004191,0.09965392908264029,2010,0.8732968428240666,False,False,False,False,False,False,False,False,False,True,False
Albania,Western Europe,2019,107,4.719,0.45181297709923657,0.5158150851581509,0.7659947414548641,0.5290055248618785,0.21239145161134304,0.04892101973147796,2010,0.8727420163673804,False,False,False,False,False,False,False,False,False,True,False
Venezuela,Western Europe,2019,108,4.707,0.45801526717557245,0.8680048661800487,0.7055214723926381,0.212707182320442,0.07636546574789863,0.08515881212516534,2010,0.8705227105406356,False,False,False,False,False,False,False,False,False,True,False
Cambodia,Western Europe,2019,109,4.7,0.27385496183206104,0.6824817518248176,0.558282208588957,0.8411602209944752,0.2768248133361325,0.11233715642043086,2010,0.8692281154750345,False,False,False,False,False,False,False,False,False,True,False
Palestinian Territories,Western Europe,2019,110,4.696,0.31345419847328243,0.7585158150851583,0.588957055214724,0.31077348066298344,0.12290067143802434,0.11958471489916835,2010,0.8684883468661195,False,False,False,False,False,False,False,False,False,True,False
